mmsi,label,tonnage,length
503595000,Drifting_longlines,1136,62.8
503552000,Drifting_longlines|Trawlers,1906,68.1
503556000,Drifting_longlines|Pots_and_traps,1045,59.8
503000087,Drifting_longlines,1155,54.58
508770000,Drifting_longlines,1362,49.9
503057000,Trawlers,1696,87.19
725004140,Drifting_longlines,985,51
725000291,Trawlers,1438.7,72.05
412217999,Trawlers,5306,110
413222000,Trawlers,7671,105
413236000,Trawlers,7847,120.7
413219000,Trawlers,7847,120.7
412280982,Trawlers,3879,92.33
412270002,Trawlers,7765,120.7
412331051,Trawlers,7765,120.7
618000500,Drifting_longlines,1387,56.4
440755000,Drifting_longlines,694,53.4
440203000,Drifting_longlines,573,51.01
441868000,Drifting_longlines,862,47.11
440863000,Trawlers,3314,93.5
441699000,Trawlers,7765,110.22
441864000,Drifting_longlines,628,51.91
512006000,Drifting_longlines,1079,46.5
512008000,Drifting_longlines,1079,46.5
512027000,Drifting_longlines,1508,51.2
258139000,Trawlers,9432,133.88
258261000,Trawlers,5500,99.5
259539000,Trawlers,4861,92
257155000,Drifting_longlines,1155,54.58
273338570,Drifting_longlines,743,49.56
273354130,Drifting_longlines,1137.27,49.9
273341320,Drifting_longlines,788,49.6
273350850,Drifting_longlines,660,58.2
224623000,Drifting_longlines,1058,55
272208000,Trawlers,6394,103.1
272364000,Drifting_longlines,871,55.46
665111119,Drifting_longlines,1352,52.55
665111117,Drifting_longlines,897,46.58
740372000,Trawlers,1794,74.5
740382000,Drifting_longlines,1058,55
770576321,Drifting_longlines,852,50
