mmsi,real_power,real_length
412366273,163,
412500356,,52
412500427,440,
412574140,440,
412500038,434,
412500115,,42
413201378,,21
412534009,270,33
412500036,259,
412370489,,29
412370366,,30
412370372,237,32
412370369,,32
412370374,268,
412370375,280,32
412370383,,25
412370285,281,
413011037,235,32
412370278,258,34
412370364,,26
412370388,192,24
412370324,242,32
412370231,171,22
412370389,200,
412370317,,24
412370411,260,
412370412,,35
412370397,176,30
412370344,,22
412370284,207,30
412370291,,28
412370303,,29
412370304,,25
412370099,,23
412370693,,33
412370311,,32
412370279,276,35
412370287,255,
412370406,194,25
412370576,245,
412370477,265,32
412370479,263,
412370492,,28
412370488,244,32
412370473,,28
412370474,,28
412370476,,31
412370575,,29
412370579,166,26
412370559,,24
412370583,,35
412370569,,30
412370562,,28
412370552,,26
412370563,193,27
412370571,172,
412370578,170,27
412370549,182,24
412370692,,26
412370094,,24
412370101,,22
412370024,,25
412370057,,24
412370069,176,
412370071,,25
412370072,,23
412370076,,26
412370078,,25
412370171,155,
412370195,,32
412370225,171,
412370226,,28
412370235,,25
412370251,,25
412370252,,24
412370168,,33
412370184,,33
412370187,,25
412370192,,32
412370179,,27
412370185,,24
412370188,,26
412370194,,23
412370495,368,29
412465766,1103,34
412465855,,35
412482325,671,
412481876,683,30
412482246,,30
412371027,,24
412371033,,24
412371034,,24
412213107,,21
412213103,88,17
412200156,,29
412205637,,33
412205649,,34
412968966,,21
412326566,,36
412200362,,35
412200363,330,33
412201009,,32
412200561,,34
412200562,,35
412212915,132,
412425321,219,24
412213119,,22
412213249,,23
412213201,,19
412213336,99,16
412213491,,16
412213265,,19
412213307,,18
412213162,,18
412213224,,21
412213365,,20
412213266,,18
412213423,,18
412213425,,21
412213369,,17
412213481,,17
412213234,,17
412213368,94,17
412213424,,17
412213171,,17
412213289,95,16
412213479,,16
412213223,,21
412213183,,21
412213275,,18
412213256,,25
412213227,,21
412213374,,18
412213294,,17
412213348,,18
412213352,,21
412213237,,20
412213189,,20
412213204,,19
412213252,,22
412213264,,23
412213485,,18
412213312,,17
412213333,,23
412213215,,22
412213397,130,21
412213482,,22
412213208,134,21
412213168,,20
412213206,,21
412213427,117,21
412213464,,21
412213379,,19
412213268,,20
412213212,,20
412213207,,19
412213487,,18
412213478,,19
412213471,,19
412213262,,19
412213281,,17
412213185,,18
412213235,,18
412213232,,18
412213315,,18
412213452,,18
412213331,,18
412213236,,18
412213308,,18
412213426,,18
412213434,,18
412213164,,18
412213329,,17
412213472,,17
412213398,,31
412213343,,17
412213271,95,17
412213291,,18
412213451,95,17
412213492,,23
412213218,132,17
412213233,,17
412213304,,23
412213473,,17
412213327,,22
412213383,94,16
412213363,,20
412213226,,20
412213258,,20
412213221,,18
412213475,121,18
412213381,,17
412213483,,17
412213349,,23
412213435,,16
412213301,,20
412213305,,18
412213316,,24
412213367,,21
412213347,,21
412213466,,18
412213354,,19
412213239,121,17
412023175,,24
412213351,,21
412213205,,24
412213225,,21
412213209,,24
412213277,,23
412213172,,22
412213453,94,16
412213188,,22
412213364,,22
412213217,,17
412213213,,22
412213468,,24
412213387,,24
412213371,,24
412213335,,24
412213167,,25
412213163,,25
412213269,,25
412213174,,24
412213176,,21
412213166,,25
412213339,,22
412213414,,21
412213421,66,16
412213499,,22
412213321,,22
412213254,,23
412213324,,22
412213322,,20
412213391,,23
412213409,59,15
412213253,,18
412213419,,22
412213285,,25
412213295,,25
412213596,,20
412213631,,22
412213549,,23
412213567,,22
412213514,,21
412213517,,21
412213556,,21
412213623,,19
412213575,,18
412213507,,17
412213524,,20
412021354,,23
412213657,,18
412213551,,17
412213641,,21
412213584,,18
412235035,194,
413905678,254,30
412804041,242,
412035323,180,
412035415,,33
412202806,,35
412202829,,27
412213709,,18
412213687,,15
412213791,110,15
412214795,,19
412214789,,20
412213689,,20
412213713,,18
412213696,,21
412213698,,20
412213699,,21
412213701,,20
412214788,,22
412213704,,14
412213991,,20
412213986,,21
412214793,,14
412213707,,20
412213718,,23
412214733,94,18
412214183,,22
412214543,,18
412214393,94,18
412214505,,18
412213741,,21
412214381,,19
412214732,94,15
412214511,,24
412213739,,20
412214518,,19
412214188,,22
412214186,,21
412214165,,22
412214379,,19
412214394,,22
412214185,,20
412214553,,20
412214129,,22
412214521,94,17
412568235,,22
412213738,,19
412214767,,23
412214509,,18
412214153,,21
412214159,,22
412213749,,23
412214395,110,17
412213752,,22
412214168,,19
412214558,,18
412214554,,19
412214576,88,17
412214774,,22
412214551,,21
412213972,,20
412214584,,22
412214517,,18
412214386,,20
412214534,,20
412214513,,18
412214396,,20
412214709,,15
412214952,,19
412214572,,20
412214502,,21
412213966,,16
412214196,,23
412214503,,22
412214645,,23
412214389,,22
412214103,,23
412214506,,23
412214593,,18
412214527,,19
412214565,,22
412214528,,19
412214167,,22
412214743,,20
412214653,110,17
412214541,,19
412214178,,17
412214633,,22
412214737,121,22
412214573,,22
412213743,,21
412214512,,18
412214545,76,19
412214164,,23
412214804,99,19
412213755,,17
412213981,,20
412214679,,21
412214383,,20
412214574,99,14
412214575,,21
412214166,,23
412213876,,18
412214339,,21
412214353,,20
412213798,,21
412214247,,18
412214367,,21
412213879,,19
412214213,121,17
412214082,,21
412213923,,18
412213906,,18
412210498,,20
412213881,,18
412214005,,19
412214242,,19
412214227,,20
412214372,,21
412214292,,16
412214006,,21
412213866,,20
412213809,,20
412214324,,19
412213855,,21
412214243,,22
412214217,,18
412213904,,17
412213111,,21
412213927,,19
412214332,,25
412214222,,19
412214706,,20
412214365,,17
412214355,,21
412214202,,20
412214362,,20
412214249,,21
412214304,147,20
412213922,,20
412214236,,19
412214331,,19
412214052,,18
412213846,155,21
412214306,185,25
412214363,,21
412213851,94,18
412214237,,19
412214309,110,18
412213875,,21
412214256,,21
412213888,,22
412213887,,18
412214238,,20
412213892,,22
412260846,,25
412213893,,25
412214274,,18
412213847,,19
412214311,,21
412213934,94,17
412214254,,21
412213921,,19
412213872,121,18
412214235,,21
412213889,,21
412214359,,22
412214289,,21
412213823,,21
412213999,,17
412214229,,22
412214317,,23
412214046,,21
412214204,,21
412214283,,21
412213894,,20
412213843,,19
412214315,,16
412214024,,21
412214033,,21
412213822,,22
412214239,,20
412214035,,21
412214057,,19
412214581,,22
412214087,,17
412214221,,20
412245678,,21
412214075,,22
412214015,,21
412213874,,21
412214312,,19
412214209,,19
412214098,,19
412213891,,20
412214284,,20
412125888,,20
412214041,,20
412213856,,20
412213882,169,24
412214323,,18
412214011,,20
412213842,95,17
412213871,,18
412214101,,19
412213837,,21
412213896,,19
412213919,,19
412214334,126,19
412214080,,22
412214322,,23
412213884,,21
412213925,,22
412213916,,21
412213909,103,19
412214352,186,21
412214069,,21
412213908,,20
412214272,,21
412214313,,23
412214351,,20
412214076,,24
412214599,121,14
412213777,,22
412213727,,22
412214605,,22
412214002,,21
412213732,,21
412213735,,21
412213728,,21
412214296,76,16
412214607,132,20
412213763,,21
412214608,,21
412213786,,21
412213756,110,19
412213729,,21
412214094,,20
412214609,,21
412213783,,23
412214611,,19
412213769,,19
412213785,,20
412213737,,20
412213731,132,18
412213764,99,20
412214602,99,18
412213759,121,19
412214613,,19
412214606,,19
412214616,132,19
412213765,,19
412213773,132,19
412214617,,19
412213784,,19
412214623,,19
412213758,,20
412214298,89,15
412214624,,19
412213761,,19
412213778,,20
412213762,88,18
412213724,,18
412213722,59,15
412213776,,14
412214603,95,18
412213774,88,19
412213775,,24
412204639,,33
412204641,225,33
412348911,,20
412348911,,20
412349041,,20
412348819,,20
412348916,,21
412348918,,21
412349199,,21
412348934,,20
412348935,,19
412349054,,20
412348944,,20
412348945,,21
412348952,,19
412349044,,20
412349044,,20
412348792,,21
412349033,,22
412348989,,21
412348832,,20
412348831,,19
412348852,,20
412348859,,20
412349007,,21
412349023,,21
412349028,,20
412349102,,19
412349103,,20
412348985,,20
412349931,357,
412360018,382,
412349655,,17
412349673,,23
412349674,,19
412349675,80,17
412349678,,19
412349678,,19
412349681,,21
412349684,,19
412349686,,17
412349688,,18
412349689,,16
412349694,90,18
412349696,,20
412349697,79,17
412349701,,19
412349702,,20
412349704,,19
412349709,,21
412349711,,21
412349779,,27
412349840,,17
412349612,,32
412349613,,32
412000319,160,
412346788,176,17
412075237,147,
412349783,,27
412349784,,27
412349315,,28
412348756,,32
412349532,,30
412349317,,27
412349519,,27
412349521,,28
412349522,,28
412349318,,20
412349319,,27
412349321,,28
412349322,310,
412349323,328,31
412349324,,27
412349327,285,28
412349328,,27
412349427,,27
412349334,,27
412349336,262,28
412349341,307,29
412349342,308,29
412349344,314,
412349345,310,
412349363,,20
412349364,,22
412349365,,27
412349366,,27
412348747,,31
412348748,,31
412349367,,26
412349368,,25
412349369,,28
412349371,,27
412349376,,27
412349377,,27
412349378,,26
412349379,,26
412349818,,27
412349385,,19
412349539,,31
412349541,,30
412349388,,20
412349391,,20
412349392,,20
412349394,,20
412349397,,20
412349402,,31
412349405,,20
412349791,,27
412349418,,20
412349793,,28
412348907,99,20
412349429,,27
412349425,,20
412349426,,20
412349431,,20
412349432,,20
412349433,,20
412349434,,20
412349435,,20
412349513,,19
412349513,,19
412349438,,21
412349441,,20
412349442,,20
412349481,,19
412349509,,19
412349443,,20
412349491,,20
412349444,,20
412349515,,20
412349449,,20
412349451,,20
412349453,,19
412349456,,19
412349413,,21
412349458,,25
412349801,,25
412349516,,20
412349483,,20
412349549,,30
412349551,,32
412349487,,20
412349487,,20
412349496,,26
412349498,,20
412349357,,27
412349348,,28
412349361,,28
412349462,,20
412349803,,20
412349804,,20
412349403,,19
412349813,,20
412349517,,20
412349497,,20
412349355,,20
412349819,,28
412349358,,20
412348743,,21
412348442,,14
412348442,,14
412348436,,19
412326144,,25
412521992,330,
412411296,306,
412521035,142,
412521176,137,21
412520548,372,
412522528,435,
412371074,206,32
412571077,,30
412371077,,32
412524597,219,
412521949,408,
412521527,428,
412521981,408,
412523163,300,
412521539,426,
412482013,754,32
412481449,,29
412481436,765,31
413005115,,24
413005126,,21
413005127,,24
413005131,,22
413005134,,22
413008103,,24
413008107,,24
412359007,,25
412359009,,29
412359015,,26
412435001,330,
412301196,243,
412365686,,36
412301586,271,
412365702,,36
412365763,,36
412002069,210,
412302159,311,36
412365714,,30
412358828,227,
412364346,,36
413002259,,32
412364155,,30
412365712,,30
412365875,,36
412364085,,30
412365666,,32
412365454,,30
412358817,,30
412358826,,30
412365736,,29
412358801,,30
412365743,,30
412365734,,35
412364033,,33
412364006,,36
412364936,189,
412302955,274,36
412364687,220,
412365835,182,30
412364009,249,29
412365015,191,
412364012,255,30
412365805,,34
412358883,,30
412364147,,31
412365869,,30
412365128,289,35
412365746,192,
412365537,195,
412365184,,16
412365731,,30
412365723,250,
412364263,,30
412365722,,29
412364756,,27
412304898,,36
412365814,222,
412358789,,30
412367257,,20
412367536,,20
412353251,,35
413003019,,36
412352001,235,39
413003378,216,36
412353603,,36
412352059,311,36
412354123,,27
412002468,,40
412352777,,40
412353884,,29
412354158,,35
412352724,,25
412352946,180,
412352954,199,30
412355222,300,30
412354173,227,
412353089,240,
412354062,367,
412353036,,24
412353088,140,24
412353197,,26
412353198,,26
412353108,140,24
413037076,218,30
412350027,,28
412350032,,31
412481409,,29
412481412,448,
412460994,709,32
412461001,,34
412465819,1800,43
412467856,,31
412480032,,22
412479513,,36
412471849,643,
412471881,,33
412465054,746,
412479098,441,40
412478046,,24
412478015,,37
412475383,694,
412475505,,28
412432036,284,35
412432058,309,
412432229,241,
412433352,239,
412433528,225,
412433464,,32
412433538,,32
412433583,184,36
412432381,,35
412433324,,32
412433201,,28
412433525,234,
412433313,193,31
412433548,211,34
412432623,203,
412432832,,35
412433453,2235,63
412433526,226,29
412433552,,34
412433522,203,32
412433567,,37
412433569,,35
412432987,235,40
412433594,218,
412433556,,36
412433549,232,
412432787,,38
412432696,211,30
412433562,,30
412432585,236,29
412432864,330,
412433012,,34
412432248,231,
412433487,211,35
412433486,,38
