,mmsi,shiptype,length,tonnage,length_stddev,tonnage_stddev,number_shiptypes
0,338793000,Purse_seines,63.12,1446.5,0.0,75.3676702193,1
1,416002947,Drifting_longlines,29.7,98.0,0.0,0.0,1
2,416000961,Drifting_longlines,23.2,61.23,,,1
3,224654000,Drifting_longlines,40.5,,0.0,89.7191063722,1
4,412371206,Drifting_longlines,43.2,560.0,0.0,0.0,1
5,228878000,Purse_seines,40.8,279.0,0.962140470885,0.0,1
6,367528590,Trollers,12.8,4.0,,,1
7,247146320,Drifting_longlines,20.1,31.0,,,1
8,416233900,Drifting_longlines,23.92,98.16,,,1
9,636017010,Reefer,145.55,6579.0,0.0,0.0,1
10,576277000,Reefer|Drifting_longlines,95.92,2781.0,0.0,0.0,2
11,273527800,Trawlers,120.47,,,,1
12,224016530,Drifting_longlines,27.3,170.836666667,0.0,0.235388386093,1
13,224782000,Purse_seines,105.0,3026.0575,0.0,562.353187258,1
14,416002553,Drifting_longlines,24.7,63.01,,,1
15,548906000,Reefer,133.95,6964.0,,,1
16,228168000,Purse_seines,78.33,1584.94333333,0.0,219.136979764,1
17,235051173,Trawlers,31.65,268.0,,,1
18,520189000,Drifting_longlines,27.5,114.0,,,1
19,650175000,Drifting_longlines,23.3,178.0,,,1
20,225325000,Drifting_longlines,29.7475,281.3475,4.805157943,39.7721417218,1
21,416002287,Drifting_longlines,24.51,65.32,,,1
22,224212280,Drifting_longlines,21.0,68.75,,,1
23,431801000,Pole_and_line,56.2,499.0,0.0,0.0,1
24,416002615,Drifting_longlines,27.0,77.45,,,1
25,224069840,Pole_and_line,32.0,161.0,,,1
26,416002141,Drifting_longlines,22.08,45.0,,,1
27,224054360,Purse_seines|Unknown,36.0,314.0,0.0,0.0,2
28,416002568,Drifting_longlines,26.0,79.89,,,1
29,224745000,Purse_seines,54.5,857.52,0.0,118.866331133,1
30,224135000,Drifting_longlines,31.85,,2.91042750044,69.8502600105,1
31,224000220,Unknown,32.6,329.0,,,1
32,224022590,Purse_seines,20.5,35.41,,,1
33,250000897,Trawlers,22.0,174.0,,,1
34,416001421,Drifting_longlines,21.66,41.34,,,1
35,224940000,Unknown,22.0,129.42,,,1
36,238880340,Purse_seines,39.95,328.0,,,1
37,356567000,Reefer|Unknown,,12413.0,8250.13904763,0.0,2
38,367150450,Recreational_fishing,25.72,81.0,,,1
39,416853000,Purse_seines,78.25,1735.0,,,1
40,247084670,Trawlers,26.92,95.0,,,1
41,412326894,Drifting_longlines,35.5,255.0,,,1
42,412460299,Drifting_longlines,49.99,,0.0,105.736851145,1
