,mmsi,label,length,tonnage,power,geartype,secondary_geartype
0,247306520,Trawlers|Purse_seines,18.2,32.0,199.0,OTB,PS
1,247070960,Trawlers,23.02,122.0,478.0,OTB,PTM
2,250000887,Trawlers,50.7,1094.0,2500.0,PTM,OTM
3,219001588,other_fishing|Set_gillnets,18.5,57.2,221.0,SDN,GNS
4,247050110,Trawlers,17.8,31.0,128.7,OTB,PTM
5,245498000,Trawlers,41.11,171.0,221.0,TBB,OTT
6,250428000,Set_gillnets|other_fishing,26.6,335.0,736.0,GNS,SPR
7,250486000,other_fishing|Trawlers,33.2,324.0,1055.0,GND,OTB
8,219005763,Set_gillnets,9.25,4.6,39.0,GNS,NO
9,266390000,Pole_and_line|Set_gillnets,13.7,22.0,78.0,LHP,GNS
10,227319170,Set_gillnets,11.6,7.22,162.0,GTR,GNS
11,225982438,Trawlers,21.7,66.0,257.54,OTB,NO
12,219008474,Trawlers,13.45,20.7,180.0,OTB,NO
13,224073960,Purse_seines,23.6,104.11,197.2,PS,NO
14,266254000,Trawlers,23.81,182.0,443.0,OTB,NO
15,224087230,Trawlers,21.5,58.65,161.88,OTB,NO
16,247081060,Trawlers,24.47,134.0,379.5,OTB,NO
17,263407870,Purse_seines|Set_longlines,19.12,36.91,225.06,PS,LLS
18,227146600,Trawlers,24.9,154.23,316.0,OTB,OTM
19,232006030,Trawlers,37.75,373.0,1492.0,TBB,NO
20,245370000,Trawlers,23.97,151.0,221.0,TBB,OTB
21,261015270,Trawlers,25.87,145.0,419.0,OTM,OTB
22,247146750,Trawlers,33.3,177.0,588.0,OTB,NO
23,247303340,Trawlers|Purse_seines,21.7,65.0,220.0,OTB,PS
24,247132540,Purse_seines|Set_longlines,14.99,23.0,378.0,PS,LLS
25,211365280,Trawlers,38.75,315.0,749.0,TBB,OTB
26,219014161,Trawlers,22.2,99.2,177.0,TBB,OTB
27,224077440,Purse_seines,23.45,115.0,165.56,PS,NO
28,235004300,Trawlers,34.08,604.0,1320.0,OTB,NO
29,247119740,Trawlers|Purse_seines,21.51,43.0,219.8,OTB,PS
30,219012521,other_fishing|Trawlers,17.19,58.6,127.0,SDN,OTB
31,224044690,Set_gillnets,27.0,197.55,397.35,GNS,GTR
32,235001270,Pots_and_traps,14.99,35.85,131.5,FPO,NO
33,210924000,Drifting_longlines|Set_longlines,13.79,19.34,110.29,LLD,LLS
