mmsi,enginepower_registry,length_registry,GT_registry
251001000,,71.15,
251002000,,70.1,
251004110,,21.3,71.56
251006110,,,
251011000,,41.98,531.48
251013000,760.24,28.9,237.24
251014000,500.48,12.4,14.83
251015000,,54.98,893
251019110,992.8,36.86,496.66
251020110,320.96,16.52,24.04
251021110,992.8,36.63,437.44
251025110,,57.89,849
251026000,,68.2,
251029000,,77.53,
251030110,912.56,38.7,328.03
251031110,927.52,35.99,271.09
251034000,,37,599.56
251035000,,49.85,686.33
251036110,,57.58,
251037110,609.28,21.5,115.86
251038000,,68.66,
251039110,999.6,43.21,689.16
251040000,,51.83,744.71
251043110,411.26,12.69,14.91
251045000,829.6,39.4,356
251046110,369.92,17.6,35
251047110,,55.6,
251049110,,49.86,674
251050110,,50.85,712
251052110,,15.77,22
251054110,,47.02,663.35
251055000,7507.2,68.3,2187.36
251056110,7371.2,67.47,1467.56
251057000,711.28,28.88,383.15
251062110,,66.96,
251063000,,78.9,
251065110,650.08,31.76,188.56
251066110,900.32,39.61,320.83
251067110,,,
251068110,782,28.95,292.06
251069110,991.44,52.07,575.28
251070110,650.08,34.17,243.56
251072000,,80.3,
251080110,217.6,16.1,23
251081110,609.28,21.5,115.86
251082000,,45,522.2
251083110,,62.96,
251086000,711.28,28.89,383.15
251089000,,64.6,
251092000,,61.76,
251102000,,56.86,
251104000,,55.15,
251123000,,64,
251126110,,56.5,
251129000,,51.14,
251133110,,,
251135110,3345.6,55.34,756
251136110,990.08,47.74,503.86
251141110,,55.82,808.78
251143110,,55.9,843.95
251145110,,53.87,819.35
251149110,786.08,24.95,180.38
251151000,,57,879
251153000,,69.57,
251155000,,65.47,
251156000,,49.86,652
251159110,952,28.95,263.21
251160110,989.94,52.82,601
251163110,2401.76,72.51,1228
251164000,1009.12,52.6,671.54
251167110,1411.68,49,471.17
251169440,,,
251169840,,,
251173000,,68.66,
251174000,,68.66,
251175000,,48.65,790.8
251177110,,50.53,
251179000,3002.88,70.1,1834.89
251180110,7507.2,74.29,1692.53
251181110,,,
251182110,,51.45,
251186110,,55.51,948.83
251188640,,,
251191110,,,
251193000,,,
251196000,,57.46,901
251197110,761.6,28.93,237.36
251198110,,,
251199000,,55.88,822
251203000,999.6,43.21,689.16
251209000,,85.85,
251210110,896.24,28.89,250.58
251211110,1020,56.76,704.43
251212110,6691.2,68.89,1423.89
251216110,,39.3,624.41
251218240,510,20.73,52
251219110,801.04,41.71,400.98
251220110,,46.56,619.83
251221000,601.12,28.89,362.1
251224110,346.8,19.03,34.65
251226000,,39.77,477
251227000,6120,71.19,2185.97
251228000,900.32,43.9,402.13
251230110,912.56,36.05,276.83
251233110,786.08,33.3,236
251236000,5032,57.83,966.44
251239000,,67.4,
251240110,632.4,28.98,356.48
251242110,624.24,25.46,113.74
