mmsi,power,length,tonnage
257000440,102,9.01, 7
257000700,340,10.63, 
257000810,650,10.98, 
257000900,500,10.99, 
257001010,146,10.95, 
257001140,245,14.53, 24
257001210,291,10.97, 
257001340,234,14.99, 26
257001410,650,10.97, 
257002020,540,19.38, 48
257002120,496,19.1, 51
257002230,238,14.63, 24
257002800,300,10.67, 
257003210,450,10.6, 
257003230,250,12.34, 13
257003700,330,10.65, 25
257003740,167,10.6, 13
257004210,525,14.7, 12
257004240,160,10.37, 11
257004500,500,10.65, 
257004910,450,10.65, 12
257005140,680,19.9, 137
257005840,350,18.19, 57
257006700,385,10.65, 
257006840,440,20.93, 120
257008720,300,14.98, 23
257009040,177,10.62, 12
257010940,207,12.71, 18
257011140,230,10.99, 20
257012540,208,10.65, 12
257012640,385,14.77, 24
257012900,450,14.95, 
257013420,365,19.42, 43
257013440,152,10.55, 11
257014540,350,12.39, 19
257014600,369,10.01, 
257014840,190,12.15, 18
257015000,5800,63.97, 
257015440,140,10.55, 10
257015640,300,12.05, 18
257017240,720,19.68, 91
257018000,4160,62.6, 
257018040,250,14.13, 23
257020600,640,10.66, 
257020840,311,14.99, 25
257021440,130,9.82, 8
257021940,402,14.97, 25
257023540,167,10.62, 14
257024540,160,12.0, 18
257024900,280,10.66, 
257025740,268,14.2, 23
257026440,311,14.97, 24
257027000,700,10.95, 
257027040,135,10.25, 11
257027940,300,10.63, 12
257028440,355,12.01, 18
257028500,85,10.6, 12
257029240,256,14.08, 23
257029440,230,12.12, 18
257029940,311,14.96, 25
257030340,490,14.73, 24
257030540,250,10.89, 15
257030600,800,14.97, 25
257030740,350,14.96, 25
257031600,120,9.94, 
257032140,250,12.12, 18
257032500,6120,80.4, 
257033840,115,9.89, 10
257034940,250,14.16, 24
257035040,360,14.88, 25
257035140,450,14.99, 25
257035440,300,10.61, 12
257035600,130,8.35, 5
257038140,120,10.2, 11
257039740,245,13.54, 20
257041440,291,14.99, 25
257042540,250,14.16, 25
257043140,155,11.48, 15
257043540,330,11.85, 17
257044840,190,12.11, 18
257045940,473,14.98, 65
257046220,65,9.0, 7
257046840,300,14.04, 23
257047900,250,10.63, 
257048640,200,10.6, 8
257049140,156,10.66, 12
257050040,245,13.1, 21
257050440,370,14.92, 25
257050740,180,10.7, 12
257053240,316,12.99, 21
257053440,245,14.07, 23
257054140,152,10.65, 12
257054640,120,9.9, 8
257054740,250,14.1, 18
257056340,152,12.65, 20
257056440,250,12.94, 21
257056600,4158,60.0, 
257057040,480,14.96, 25
257057240,300,10.29, 11
257058040,450,14.96, 25
257058340,245,14.17, 23
