name,mmsi,known,tonnage,length,power
FU YUAN YU F91,412440004,reefer,2946,78,2866.5
FU YUAN YU 795,412440024,squid_jigger,655,45.16,955.5
FU YUAN YU 796,412440025,squid_jigger,663,47.5,882
FU YUAN YU 793,412440073,drift_net,210,37.13,287
FU YUAN YU 794,412440074,drift_net,207,36.51,434
FU YUAN YU 725,412440082,trawler,297,38.93,698
FU YUAN YU 726,412440083,trawler,297,38.93,698
FU YUAN YU 727,412440084,trawler,297,38.93,698
FU YUAN YU 728,412440085,trawler,297,38.93,698
FU YUAN YU 729,412440086,trawler,297,38.93,698
FU YUAN YU 730,412440087,trawler,297,38.93,698
FU YUAN YU 731,412440088,trawler,297,38.93,698
FU YUAN YU 732,412440089,trawler,297,38.93,698
FU YUAN YU 733,412440091,trawler,297,38.93,698
FU YUAN YU 734,412440092,trawler,297,38.93,698
FU YUAN YU 560,412440119,trawler,237,36.98,810
FU YUAN YU 561,412440121,trawler,237,36.98,810
FU YUAN YU 562,412440122,trawler,237,36.98,810
FU YUAN YU 563,412440123,trawler,237,36.98,810
FU YUAN YU 564,412440124,trawler,237,36.98,810
FU YUAN YU 565,412440125,trawler,237,36.98,810
FU YUAN YU 566,412440126,trawler,237,36.98,810
FU YUAN YU 567,412440127,trawler,237,36.98,810
FU YUAN YU 568,412440128,trawler,237,36.98,810
FU YUAN YU 569,412440129,trawler,237,36.98,810
FU YUAN YU 570,412440131,trawler,237,36.98,810
FU YUAN YU 571,412440132,trawler,237,36.98,810
FU YUAN YU 572	,412440133,trawler,237,36.98,810
FU YUAN YU 573,412440134,trawler,237,36.98,810
FU YUAN YU 574,412440135,trawler,237,36.98,810
FU YUAN YU 575,412440136,trawler,237,36.98,810
FU YUAN YU 576,412440137,trawler,237,36.98,810
FU YUAN YU 577,412440138,trawler,237,36.98,810
FU YUAN YU 578	,412440139,trawler,237,36.98,810
FU YUAN YU 579,412440141,trawler,237,36.98,810
FU YUAN YU 739,412440158,trawler,292,38.93,810
FU YUAN YU 740,412440159,trawler,292,38.93,810
FU YUAN YU 741,412440161,trawler,292,38.93,810
FU YUAN YU 742,412440162,trawler,292,38.93,810
FU YUAN YU 743,412440163,trawler,292,38.93,810
FU YUAN YU 745,412440164,trawler,292,38.93,810
FU YUAN YU 746,412440165,trawler,292,38.93,810
FU YUAN YU 747,412440166,trawler,292,38.93,810
FU YUAN YU 748,412440167,trawler,292,38.93,810
FU YUAN YU 749,412440168,trawler,292,38.93,810
FU YUAN YU 171,412440177,trawler,316,38.9,1000
