mmsi,length,length_type,tonnage,tonnage_type,Engine_Power,Power_Units,power
412687180,,Registered,115,GT,237,KW,237.0
416004299,23.9,Overall,99.7,GT,940,HP,705.0
412689850,,Registered,128,GT,407,KW,407.0
416003700,56.9,Overall,720,GT,1400,HP,1050.0
416003700,56.9,Overall,720,GT,1400,HP,1050.0
441811000,51.19,OVERALL,483,GT,1600,HP,1200.0
441811000,51.19,OVERALL,483,GT,1600,HP,1200.0
441811000,51.19,OVERALL,483,GT,1600,HP,1200.0
441812000,51.19,OVERALL,488,GT,1600,HP,1200.0
441812000,51.19,OVERALL,488,GT,1600,HP,1200.0
441812000,51.19,OVERALL,488,GT,1600,HP,1200.0
510053000,29.7,Overall,96,GT,600,HP,450.0
416004329,23.8,Overall,74.82,GT,700,HP,525.0
412500244,,Registered,228,GT,375,KW,375.0
412500245,,Registered,228,GT,375,KW,375.0
416237600,23.95,Overall,97.88,GT,940,HP,705.0
412270059,,Registered,647,GT,1029,HP,771.75
412270059,,Registered,647,GT,1029,HP,771.75
412270059,,Registered,647,GT,1029,HP,771.75
367512170,,REGISTERED,,GRT,900,HP,675.0
367512170,,REGISTERED,,GRT,900,HP,675.0
441219875,,Registered,255,GT,450,KW,450.0
412326894,,Registered,255,GT,450,KW,450.0
412326895,,Registered,255,GT,450,KW,450.0
441219878,,Registered,255,GT,450,KW,450.0
416237800,23.95,Overall,97.55,GT,939,HP,704.25
416237700,23.95,Overall,98.4,GT,940,HP,705.0
444080710,79.9,OVERALL,"1,971.00",GT,4500,HP,3375.0
444080710,79.9,OVERALL,"1,971.00",GT,4500,HP,3375.0
412689860,,Registered,128,GT,407,KW,407.0
412689870,,Registered,128,GT,407,KW,407.0
412689880,,Registered,128,GT,407,KW,407.0
413011000,,Registered,523,GT,882,KW,882.0
413011000,,Registered,523,GT,882,KW,882.0
413011000,,Registered,523,GT,882,KW,882.0
412691310,,Registered,523,GT,1029,HP,771.75
412691310,,Registered,523,GT,1029,HP,771.75
412691310,,Registered,523,GT,1029,HP,771.75
416001327,20.8,Overall,33.78,GT,545,HP,408.75
416001504,19.78,Overall,28.9,GT,340,HP,255.0
416001468,19.96,Overall,31.71,GT,500,HP,375.0
