mmsi,inferred,known
1,cargo_or_tanker,purse_seines
10,tug,
100,cargo_or_tanker,
1000,cargo_or_tanker,
100000,cargo_or_tanker,
100000000,cargo_or_tanker,
100000001,cargo_or_tanker,
100000007,cargo_or_tanker,
100000089,cargo_or_tanker,
100001110,passenger,
100025137,drifting_longlines,
100601120,cargo_or_tanker,
100700106,purse_seines,
100700130,fixed_gear,
100700144,purse_seines,
100700154,purse_seines,
100700158,fixed_gear,
100700159,purse_seines,
100700197,trawlers,
100700210,fixed_gear,
100700216,purse_seines,
100700576,passenger,
100700597,trawlers,
100700647,trawlers,
100700754,trawlers,
100700762,purse_seines,
100700767,purse_seines,
100700772,trawlers,
100700789,purse_seines,
100700806,drifting_longlines,
100700811,cargo_or_tanker,
100700817,fixed_gear,
100701138,cargo_or_tanker,
100701339,cargo_or_tanker,
100701559,trawlers,
100701620,cargo_or_tanker,
100701635,passenger,
100702081,tug,
100702089,cargo_or_tanker,
100702252,fixed_gear,
100702508,cargo_or_tanker,
100702516,purse_seines,
100702529,purse_seines,
100702534,drifting_longlines,
100702538,purse_seines,
100702606,fixed_gear,
100702639,fixed_gear,
100702670,fixed_gear,
100703012,trawlers,
100703087,purse_seines,
100703127,purse_seines,
100703174,trawlers,
100703187,fixed_gear,
100705211,purse_seines,
100706253,cargo_or_tanker,
100706257,passenger,
100710150,tug,
100710342,cargo_or_tanker,
100710540,passenger,
100710910,cargo_or_tanker,
100710991,passenger,
100711268,trawlers,
100711436,fixed_gear,
100711968,cargo_or_tanker,
100712130,trawlers,
100712595,cargo_or_tanker,
100712661,cargo_or_tanker,
100800973,drifting_longlines,
100900000,drifting_longlines,
100901111,trawlers,
100902222,trawlers,
100903114,trawlers,
100903117,cargo_or_tanker,
100912345,cargo_or_tanker,
100920003,cargo_or_tanker,
100994028,fixed_gear,
101000002,trawlers,
10101010,passenger,
101010101,drifting_longlines,
101090272,cargo_or_tanker,
1020902088,cargo_or_tanker,
1030,tug,
1037692,cargo_or_tanker,
104,tug,
1040345356,cargo_or_tanker,
1041041040,passenger,
10421670,purse_seines,
1048576,passenger,
104938,cargo_or_tanker,
10500794,cargo_or_tanker,
1050406,cargo_or_tanker,
1056261,passenger,
1056290880,cargo_or_tanker,
10615,tug,
1062383,passenger,
1065353216,cargo_or_tanker,
1066287017,cargo_or_tanker,
107374182,tug,
1073741823,passenger,
107502700,passenger,
1088,cargo_or_tanker,
109044476,cargo_or_tanker,
109046476,tug,
109048476,tug,
109050476,tug,
109054476,tug,
109058476,tug,
1092094,passenger,
11,passenger,
1100000,cargo_or_tanker,
110000000,passenger,
110021210,cargo_or_tanker,
110022000,cargo_or_tanker,
110051420,cargo_or_tanker,
110300034,cargo_or_tanker,
110300041,drifting_longlines,
110300192,cargo_or_tanker,
110300254,trawlers,
110300262,trawlers,
110300488,trawlers,
110300521,trawlers,
110300581,trawlers,
110300593,trawlers,
110600400,cargo_or_tanker,
11064272,passenger,
110700044,fixed_gear,
110700917,purse_seines,
110700964,purse_seines,
110700977,trawlers,
110701056,purse_seines,
110701124,purse_seines,
110703120,tug,
110703143,trawlers,
110703336,fixed_gear,
110704229,drifting_longlines,
110706446,purse_seines,
110706492,fixed_gear,
110706739,purse_seines,
110765546,purse_seines,
110767890,purse_seines,
110767898,purse_seines,
110777777,trawlers,
110789999,trawlers,
110988000,fixed_gear,
111,cargo_or_tanker,
111000000,cargo_or_tanker,
111002101,drifting_longlines,
111003504,fixed_gear,
111003506,drifting_longlines,
111004876,drifting_longlines,
111005141,trawlers,
111005163,cargo_or_tanker,
111014009,cargo_or_tanker,
1111,cargo_or_tanker,
111100000,passenger,
11111,tug,
111111,cargo_or_tanker,
111111000,tug,
111111100,passenger,
11111111,passenger,
111111110,cargo_or_tanker,cargo_or_tanker
111111111,cargo_or_tanker,
111111112,tug,
111111113,cargo_or_tanker,
111111737,passenger,
111112222,cargo_or_tanker,
111112730,tug,
111188889,drifting_longlines,
111199811,drifting_longlines,
111199900,fixed_gear,
111199993,drifting_longlines,
111199994,drifting_longlines,
111202258,cargo_or_tanker,
111202513,cargo_or_tanker,
111202707,cargo_or_tanker,
111203151,trawlers,
111222,passenger,
111222333,tug,
1113563,passenger,
111666888,cargo_or_tanker,
111667988,tug,
111855370,tug,
112111211,tug,
114,passenger,
1156280,passenger,
11572680,cargo_or_tanker,
1165107,tug,
116786655,trawlers,
11862816,cargo_or_tanker,
1190998,passenger,
1191,tug,
1193046,cargo_or_tanker,
11982595,cargo_or_tanker,
12,passenger,
120000000,tug,
1201,passenger,
120121965,passenger,
12048,passenger,
12063,tug,
12069,passenger,
120872088,drifting_longlines,
121000416,trawlers,
121000546,trawlers,
121149700,tug,
121548806,cargo_or_tanker,
121763936,cargo_or_tanker,
122292919,passenger,
1224570,cargo_or_tanker,
12259361,cargo_or_tanker,
123,cargo_or_tanker,
123000000,passenger,
123104000,tug,
123111111,purse_seines,
123123123,cargo_or_tanker,
123222224,cargo_or_tanker,
123412112,passenger,
123450011,tug,
123450020,purse_seines,purse_seines
123450099,cargo_or_tanker,
123450100,purse_seines,
123450800,purse_seines,
123454322,tug,
123454344,tug,
123455678,cargo_or_tanker,
123456,cargo_or_tanker,
123456000,passenger,
123456123,fixed_gear,
123456778,tug,
12345678,cargo_or_tanker,
123456780,cargo_or_tanker,
123456788,cargo_or_tanker,
123456789,cargo_or_tanker,purse_seines
123456798,cargo_or_tanker,
123456888,cargo_or_tanker,
123456899,fixed_gear,
123456987,cargo_or_tanker,
123470,cargo_or_tanker,
123482,purse_seines,
123484,fixed_gear,
