mmsi,start_time,end_time,is_fishing
209121000,2014-06-06T01:32:49Z,2014-06-10T16:41:04Z,1.0
209121000,2014-07-01T14:15:33Z,2014-07-02T21:16:18Z,0.0
209121000,2014-07-02T21:16:26Z,2014-07-06T14:20:02Z,1.0
209121000,2014-07-16T14:16:34Z,2014-07-16T16:15:54Z,0.0
209121000,2014-07-19T16:16:29Z,2014-07-23T22:18:32Z,0.0
209121000,2014-08-15T05:06:43Z,2014-08-16T17:06:25Z,1.0
209121000,2014-08-16T18:06:26Z,2014-08-17T15:06:05Z,0.0
209121000,2014-08-18T17:06:39Z,2014-08-18T21:06:18Z,0.0
209121000,2014-08-20T02:06:47Z,2014-08-20T03:15:33Z,0.0
209121000,2014-09-02T13:06:33Z,2014-09-04T03:14:48Z,0.0
224052370,2014-06-11T02:04:33Z,2014-06-11T18:05:10Z,0.0
224052370,2014-06-11T18:05:41Z,2014-07-20T14:04:55Z,1.0
224052370,2014-07-20T14:05:44Z,2014-08-04T20:22:57Z,0.0
224052370,2014-09-23T20:12:41Z,2014-09-26T17:13:30Z,1.0
224052370,2014-09-26T17:13:56Z,2014-09-27T15:13:24Z,0.0
224052370,2014-09-27T15:14:10Z,2014-10-02T15:13:38Z,1.0
224052370,2014-10-02T15:14:05Z,2014-12-04T20:49:51Z,0.0
224052370,2014-12-04T20:50:16Z,2014-12-27T00:49:43Z,1.0
224052370,2014-12-27T00:50:24Z,2014-12-28T12:55:42Z,0.0
224154000,2014-06-06T09:33:20Z,2014-06-10T18:32:40Z,1.0
224154000,2014-08-10T20:33:18Z,2014-08-21T06:32:38Z,1.0
224154000,2014-08-21T06:33:19Z,2014-08-21T20:32:46Z,0.0
224154000,2014-08-21T20:33:20Z,2014-08-23T02:32:43Z,1.0
224154000,2014-08-23T02:33:26Z,2014-08-23T22:32:55Z,0.0
224154000,2014-08-23T22:33:17Z,2014-09-08T17:32:46Z,1.0
224154000,2014-09-08T17:33:05Z,2014-09-09T00:34:50Z,0.0
224154000,2014-11-08T00:24:32Z,2014-11-11T00:32:53Z,1.0
224154000,2014-11-11T00:33:06Z,2014-11-13T00:42:05Z,0.0
263415290,2014-06-11T11:00:20Z,2014-06-12T19:05:34Z,0.0
263415290,2014-06-12T19:06:09Z,2014-06-16T11:13:27Z,1.0
263415290,2014-06-21T11:01:01Z,2014-07-03T16:12:53Z,0.0
263415290,2014-09-16T20:42:25Z,2014-10-16T20:47:14Z,1.0
263415290,2014-10-16T22:47:41Z,2014-10-19T19:47:05Z,1.0
263415290,2014-10-20T03:47:24Z,2014-10-20T18:47:01Z,1.0
263415290,2014-10-21T04:47:42Z,2014-10-21T18:46:53Z,1.0
355212000,2014-06-12T10:04:45Z,2014-12-25T20:46:42Z,0.0
361001100,2014-06-14T11:53:18Z,2014-06-17T13:57:54Z,0.0
361001100,2014-06-17T13:58:32Z,2014-06-19T11:59:30Z,1.0
361001100,2014-07-07T08:02:43Z,2014-07-08T04:03:14Z,0.0
361001100,2014-07-08T04:03:51Z,2014-07-11T18:03:18Z,1.0
361001100,2014-07-11T18:03:56Z,2014-10-16T13:40:06Z,0.0
412209233,2014-08-14T07:53:37Z,2014-08-14T21:57:53Z,0.0
412209233,2014-08-14T21:58:33Z,2014-08-18T11:57:56Z,1.0
412209233,2014-08-18T11:58:22Z,2014-08-19T08:01:27Z,0.0
412209233,2014-09-08T07:49:37Z,2014-09-11T13:57:57Z,1.0
412209233,2014-09-11T16:58:30Z,2014-09-12T02:57:58Z,0.0
412209233,2014-09-12T09:58:34Z,2014-09-20T19:57:57Z,1.0
412209233,2014-09-20T22:58:37Z,2014-09-21T13:58:00Z,1.0
412209233,2014-09-21T18:58:13Z,2014-09-22T18:57:45Z,1.0
412209233,2014-10-02T04:03:47Z,2014-10-04T15:10:39Z,0.0
412209233,2014-10-04T15:11:18Z,2014-10-05T14:10:52Z,1.0
412209233,2014-10-05T14:11:16Z,2014-10-06T10:10:51Z,0.0
412209233,2014-10-06T10:11:05Z,2014-10-30T16:10:57Z,1.0
412209233,2014-10-30T16:11:25Z,2014-11-06T17:10:54Z,0.0
412209233,2014-11-06T17:11:23Z,2014-11-11T04:12:37Z,1.0
412209234,2014-10-09T09:47:25Z,2014-10-10T21:47:25Z,0.0
412209234,2014-10-10T21:48:02Z,2014-10-26T16:47:12Z,1.0
412209234,2014-10-26T16:48:05Z,2014-10-26T18:47:07Z,0.0
412209234,2014-10-26T18:48:00Z,2014-10-27T15:47:06Z,1.0
412209234,2014-10-27T15:47:40Z,2014-10-27T19:47:21Z,0.0
412209234,2014-10-27T19:48:01Z,2014-10-28T14:47:20Z,1.0
412209234,2014-10-28T14:47:42Z,2014-10-28T20:47:23Z,0.0
412209234,2014-10-28T20:48:01Z,2014-10-29T09:47:35Z,1.0
412209234,2014-10-29T11:48:05Z,2014-10-29T18:47:34Z,1.0
412209234,2014-10-29T23:47:43Z,2014-10-30T04:47:35Z,1.0
412209234,2014-10-31T08:47:45Z,2014-11-03T06:47:19Z,1.0
412209234,2014-11-13T09:43:15Z,2014-12-03T15:47:18Z,1.0
412209234,2014-12-03T15:47:55Z,2014-12-03T23:47:10Z,0.0
412209234,2014-12-03T23:48:00Z,2014-12-06T17:47:23Z,1.0
412209234,2014-12-06T17:47:40Z,2014-12-07T17:47:35Z,0.0
412209234,2014-12-07T17:47:39Z,2014-12-08T09:55:55Z,1.0
412331031,2014-09-12T07:05:49Z,2014-09-13T19:06:29Z,1.0
412331031,2014-09-13T19:06:49Z,2014-09-14T05:06:30Z,0.0
412331031,2014-09-14T05:06:31Z,2014-09-19T20:06:15Z,1.0
412331031,2014-09-20T04:07:00Z,2014-09-22T07:10:49Z,1.0
412331031,2014-09-27T07:06:43Z,2014-09-28T14:06:17Z,0.0
412331031,2014-09-28T14:06:54Z,2014-10-06T19:06:02Z,1.0
412331031,2014-10-06T19:06:50Z,2014-10-17T13:06:02Z,0.0
412331031,2014-10-17T13:06:38Z,2014-10-19T00:06:24Z,1.0
412331031,2014-10-19T00:06:34Z,2014-10-19T07:06:30Z,0.0
412331031,2014-10-19T07:06:33Z,2014-10-22T07:08:24Z,1.0
412331031,2014-11-01T07:03:19Z,2014-11-01T22:06:05Z,0.0
412331031,2014-11-02T14:06:39Z,2014-11-03T13:06:06Z,0.0
412331031,2014-12-26T07:02:36Z,2014-12-27T10:06:14Z,0.0
412331031,2014-12-27T10:06:48Z,2014-12-28T21:06:25Z,1.0
412331031,2014-12-28T21:06:56Z,2014-12-30T13:06:23Z,0.0
412331031,2014-12-30T13:06:49Z,2014-12-31T07:14:51Z,1.0
412371197,2014-06-30T03:04:38Z,2014-07-05T03:08:23Z,0.0
412371197,2014-11-13T17:55:40Z,2014-11-15T04:04:05Z,0.0
412371197,2014-11-30T03:48:43Z,2014-11-30T18:54:50Z,1.0
412371197,2014-11-30T18:55:20Z,2014-12-01T00:55:10Z,0.0
412371197,2014-12-01T00:55:29Z,2014-12-04T21:55:02Z,1.0
412371197,2014-12-04T21:55:26Z,2014-12-05T03:58:27Z,0.0
412371197,2014-12-25T03:54:44Z,2014-12-26T19:54:46Z,1.0
412371197,2014-12-26T19:55:38Z,2014-12-27T19:54:43Z,0.0
412371197,2014-12-27T19:55:15Z,2014-12-30T03:59:14Z,1.0
412371198,2014-06-29T22:26:57Z,2014-07-09T22:32:55Z,0.0
412371198,2014-08-13T22:24:10Z,2014-08-16T16:27:58Z,1.0
412371198,2014-08-16T17:28:27Z,2014-08-17T17:27:54Z,0.0
412371198,2014-08-17T21:28:32Z,2014-08-18T12:27:56Z,1.0
412371198,2014-08-28T22:19:49Z,2014-09-02T22:28:42Z,0.0
412420892,2014-08-15T08:18:35Z,2014-09-30T16:50:11Z,1.0
412420892,2014-09-30T16:50:57Z,2014-10-01T09:50:11Z,0.0
412420892,2014-10-01T09:50:37Z,2014-10-02T13:50:07Z,1.0
412420892,2014-10-02T13:50:38Z,2014-10-08T08:50:32Z,0.0
412420892,2014-10-08T08:50:53Z,2014-11-21T23:50:12Z,1.0
412420892,2014-12-12T02:42:50Z,2014-12-12T13:50:03Z,0.0
412420892,2014-12-12T18:50:52Z,2014-12-12T23:50:31Z,1.0
412420892,2014-12-13T05:50:47Z,2014-12-13T10:50:27Z,1.0
412420892,2014-12-13T18:51:01Z,2014-12-13T22:50:29Z,1.0
412420892,2014-12-14T04:50:43Z,2014-12-14T12:50:17Z,1.0
412420892,2014-12-14T18:50:48Z,2014-12-15T00:50:30Z,1.0
412420892,2014-12-15T05:50:51Z,2014-12-15T11:50:31Z,1.0
412420892,2014-12-16T05:50:46Z,2014-12-16T12:50:23Z,1.0
412420892,2014-12-16T17:50:34Z,2014-12-16T23:50:20Z,1.0
412460114,2014-12-01T20:27:31Z,2014-12-02T10:30:57Z,0.0
412460114,2014-12-02T12:31:40Z,2014-12-04T14:30:58Z,1.0
412460114,2014-12-04T15:31:27Z,2014-12-05T13:30:59Z,0.0
412460114,2014-12-05T22:31:22Z,2014-12-13T13:31:10Z,1.0
412460114,2014-12-13T19:31:43Z,2014-12-14T01:30:59Z,1.0
412460114,2014-12-14T19:31:27Z,2014-12-15T12:30:51Z,1.0
412460114,2014-12-19T23:31:17Z,2014-12-20T01:31:12Z,1.0
412460114,2014-12-20T17:31:32Z,2014-12-20T19:31:07Z,1.0
412460115,2014-11-29T21:04:29Z,2014-11-30T19:06:03Z,0.0
412460115,2014-11-30T23:06:21Z,2014-12-04T21:11:20Z,1.0
412460115,2014-12-21T19:06:18Z,2014-12-24T21:09:25Z,1.0
416002195,2014-06-21T06:27:08Z,2014-06-26T06:40:12Z,1.0
416002195,2014-07-09T01:51:03Z,2014-07-12T10:53:16Z,0.0
416002195,2014-07-12T12:53:31Z,2014-07-14T00:53:02Z,1.0
416002195,2014-10-31T22:15:15Z,2014-11-03T19:14:29Z,1.0
416002195,2014-11-03T23:14:54Z,2014-11-04T10:14:33Z,1.0
416002195,2014-11-04T13:15:16Z,2014-11-04T15:14:30Z,1.0
416002195,2014-11-04T23:15:14Z,2014-11-05T04:14:37Z,1.0
416002195,2014-11-25T21:14:56Z,2014-11-27T07:14:31Z,0.0
416002195,2014-11-27T08:15:13Z,2014-11-30T01:14:36Z,1.0
416002195,2014-11-30T09:15:14Z,2014-12-05T09:15:47Z,1.0
416002257,2014-07-19T09:13:43Z,2014-07-20T07:22:10Z,0.0
416002257,2014-07-20T07:22:43Z,2014-09-20T00:22:29Z,1.0
416002257,2014-09-20T01:22:52Z,2014-11-21T06:07:40Z,0.0
416002257,2014-11-21T06:08:20Z,2014-11-22T14:07:48Z,1.0
416002257,2014-11-22T14:08:28Z,2014-11-22T18:08:01Z,0.0
416002257,2014-11-22T18:08:07Z,2014-11-27T14:10:25Z,1.0
416002257,2014-12-12T14:01:26Z,2014-12-13T20:07:47Z,0.0
416002257,2014-12-13T20:08:05Z,2014-12-17T14:11:47Z,1.0
416002441,2014-06-12T00:59:52Z,2014-08-11T01:10:05Z,0.0
416002441,2014-11-02T00:20:33Z,2014-11-04T01:20:10Z,1.0
416002441,2014-11-04T02:20:32Z,2014-11-04T05:20:06Z,1.0
416002441,2014-11-04T10:20:36Z,2014-11-04T13:20:10Z,1.0
416002441,2014-11-04T23:20:37Z,2014-11-05T13:20:01Z,1.0
416002441,2014-11-06T01:20:14Z,2014-11-06T11:19:50Z,1.0
416002441,2014-12-21T13:12:43Z,2014-12-23T18:28:18Z,0.0
416002492,2014-06-22T23:34:41Z,2014-06-25T22:33:54Z,1.0
416002492,2014-06-26T10:34:33Z,2014-06-26T20:34:04Z,0.0
416002492,2014-08-11T01:31:00Z,2014-09-11T11:35:33Z,1.0
416002492,2014-09-11T11:36:15Z,2014-09-13T14:35:36Z,0.0
416002492,2014-09-13T14:36:13Z,2014-09-15T01:35:28Z,1.0
416002492,2014-09-15T19:36:20Z,2014-09-19T21:35:44Z,1.0
416002492,2014-11-07T00:40:53Z,2014-11-09T13:43:15Z,1.0
