mmsi,eu_fishing,eu_label,eu_sublabel,eu_label2,eu_sublabel2,eu_length,eu_tonnage
227835000,Fishing vessel,Purse seines,Purse seines,,,61.0,1383.0
219009244,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,14.01,24.9
247050630,Fishing vessel,Trawlers,Trawlers,,,22.0,66.0
261016430,Fishing vessel,Trawlers,Trawlers,,,18.92,43.0
237922000,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,21.2,57.0
247147280,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,26.2,120.0
224280000,Fishing vessel,Trawlers,Trawlers,,,39.0,387.0
247147320,Fishing vessel,Trawlers,Trawlers,,,24.28,130.0
247306530,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,22.27,58.0
261004850,Fishing vessel,Trawlers,Trawlers,,,26.77,169.0
230627000,Fishing vessel,Trawlers,Trawlers,,,39.82,422.0
235003969,Fishing vessel,Trawlers,Trawlers,,,17.61,51.0
277206000,Fishing vessel,Trawlers,Trawlers,,,25.5,117.0
205294000,Fishing vessel,Trawlers,Trawlers,,,21.0,62.0
227905000,Fishing vessel,Set gear,Pots and traps,,,17.8,97.59
235004290,Fishing vessel,Trawlers,Trawlers,,,15.75,95.0
224249780,Fishing vessel,Trawlers,Trawlers,,,16.7,25.7
224049260,Fishing vessel,Purse seines,Purse seines,,,23.74,87.65
247146410,Fishing vessel,Trawlers,Trawlers,,,18.8,39.0
224105580,Fishing vessel,Purse seines,Purse seines,,,25.0,81.94
235081239,Fishing vessel,Trawlers,Trawlers,,,11.73,27.47
204212000,Fishing vessel,Drifting longlines,Drifting longlines,Set gear,Set longlines,34.5,273.0
224220650,Fishing vessel,Trawlers,Trawlers,,,23.03,52.22
263582000,Fishing vessel,Set gear,Set longlines,Drifting longlines,Drifting longlines,44.9,602.0
246202000,Fishing vessel,Trawlers,Trawlers,,,41.11,253.0
211318730,Fishing vessel,Trawlers,Trawlers,,,23.49,88.0
263410890,Fishing vessel,Set gear,Set longlines,Set gear,Set gillnets,16.0,49.93
235004378,Fishing vessel,Set gear,Pots and traps,,,16.54,43.0
247142830,Fishing vessel,Trawlers,Trawlers,,,31.6,154.0
227652390,Fishing vessel,Set gear,Set gillnets,Set gear,Pots and traps,11.96,20.4
224335000,Fishing vessel,Drifting longlines,Drifting longlines,,,26.5,190.0
265674430,Fishing vessel,Set gear,Set gillnets,,,10.5,13.63
235080782,Fishing vessel,Set gear,Set gillnets,Pole and line,Pole and line,8.5,2.83
237883000,Fishing vessel,Trawlers,Trawlers,,,28.2,144.0
224048880,Fishing vessel,Purse seines,Purse seines,,,22.5,64.5
224168820,Fishing vessel,Trawlers,Trawlers,,,27.0,126.48
232004360,Fishing vessel,Trawlers,Trawlers,,,18.21,86.0
237994000,Fishing vessel,Purse seines,Purse seines,,,18.2,32.0
247092950,Fishing vessel,Trawlers,Trawlers,,,23.02,59.0
232006060,Fishing vessel,Trawlers,Trawlers,,,36.5,312.0
240220000,Fishing vessel,Purse seines,Purse seines,,,28.55,113.0
244586000,Fishing vessel,Trawlers,Trawlers,,,21.98,75.0
263411290,Fishing vessel,Set gear,Set gillnets,,,19.2,82.71
205316000,Fishing vessel,Trawlers,Trawlers,,,36.11,351.0
235096987,Fishing vessel,Trawlers,Trawlers,,,26.5,180.0
244957000,Fishing vessel,Trawlers,Trawlers,,,18.99,56.0
247082320,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,24.62,106.0
265787000,Fishing vessel,Trawlers,Trawlers,,,26.0,196.0
224079860,Fishing vessel,Trawlers,Trawlers,,,15.61,37.89
263500291,Fishing vessel,Set gear,Set gillnets,,,15.0,33.15
263408470,Fishing vessel,Trawlers,Trawlers,,,24.8,159.24
250186000,Fishing vessel,Trawlers,Trawlers,,,24.9,233.0
224301000,Fishing vessel,Trawlers,Trawlers,,,49.37,638.0
211517200,Fishing vessel,Trawlers,Trawlers,,,19.09,55.0
211527000,Fishing vessel,Trawlers,Trawlers,,,17.14,33.0
247100630,Fishing vessel,Set gear,Set longlines,Set gear,Set gillnets,13.75,12.0
205306000,Fishing vessel,Trawlers,Trawlers,,,37.79,386.0
235002082,Fishing vessel,Set gear,Pots and traps,,,14.31,20.25
227322690,Fishing vessel,Trawlers,Trawlers,Set gear,Pots and traps,9.85,9.0
247071890,Fishing vessel,Trawlers,Trawlers,,,23.93,96.0
207829280,Fishing vessel,Set gear,Set gillnets,Trawlers,Trawlers,25.0,76.33
235746000,Fishing vessel,Trawlers,Trawlers,,,61.9,1771.0
247053040,Fishing vessel,Trawlers,Trawlers,,,22.28,75.0
247145010,Fishing vessel,Trawlers,Trawlers,,,33.14,177.0
246327000,Fishing vessel,Trawlers,Trawlers,,,23.93,130.0
266245000,Fishing vessel,Trawlers,Trawlers,,,21.05,121.0
224139890,Fishing vessel,Set gear,Set longlines,,,17.5,46.3
247083440,Fishing vessel,Trawlers,Trawlers,,,25.5,132.0
276174000,Fishing vessel,Trawlers,Trawlers,,,25.5,117.0
246009000,Fishing vessel,Trawlers,Trawlers,,,41.35,458.0
227304010,Fishing vessel,Set gear,Set gillnets,,,11.97,15.0
211398000,Fishing vessel,Trawlers,Trawlers,,,16.45,38.0
224215230,Fishing vessel,Purse seines,Purse seines,,,22.0,47.99
227575000,Fishing vessel,Set gear,Set gillnets,Set gear,Set longlines,22.09,157.0
250002223,Fishing vessel,Set gear,Set gillnets,Fishing vessel,Fishing vessel,21.02,117.0
224212830,Fishing vessel,Trawlers,Trawlers,,,19.7,45.3
250000897,Fishing vessel,Trawlers,Trawlers,,,22.0,174.0
247083450,Fishing vessel,Trawlers,Trawlers,,,17.16,34.0
211658000,Fishing vessel,Trawlers,Trawlers,,,15.41,21.0
232005610,Fishing vessel,Trawlers,Trawlers,,,32.82,208.2
237063000,Fishing vessel,Trawlers,Trawlers,,,19.4,33.0
247148370,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,17.24,50.0
224081130,Fishing vessel,Set gear,Set gillnets,,,20.0,86.23
224323960,Fishing vessel,Trawlers,Trawlers,,,16.1,34.32
275223000,Fishing vessel,Trawlers,Trawlers,,,25.6,109.0
205017000,Fishing vessel,Trawlers,Trawlers,,,23.94,94.0
219004472,Fishing vessel,Trawlers,Trawlers,,,12.22,10.1
235090771,Fishing vessel,Set gear,Set gillnets,,,17.76,47.0
263315000,Fishing vessel,Set gear,Set gillnets,,,19.5,44.32
224173000,Fishing vessel,Drifting longlines,Drifting longlines,,,30.0,267.0
224329000,Fishing vessel,Trawlers,Trawlers,,,28.0,217.82
245737000,Fishing vessel,Trawlers,Trawlers,,,41.43,312.0
247144430,Fishing vessel,Trawlers,Trawlers,,,23.23,150.0
244032000,Fishing vessel,Trawlers,Trawlers,,,37.06,170.0
227309000,Fishing vessel,Trawlers,Trawlers,,,24.9,178.91
235100414,Fishing vessel,Trawlers,Trawlers,,,25.94,261.0
227311840,Fishing vessel,Set gear,Set gillnets,,,15.95,26.0
224175430,Fishing vessel,Set gear,Set longlines,Set gear,Set gillnets,32.0,294.0
237402000,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,19.8,42.0
235003310,Fishing vessel,Set gear,Set gillnets,,,16.6,159.0
232007630,Fishing vessel,Trawlers,Trawlers,,,24.45,171.0
247071120,Fishing vessel,Trawlers,Trawlers,,,17.1,33.0
247300570,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,15.9,25.0
245530000,Fishing vessel,Trawlers,Trawlers,,,30.05,184.0
224709000,Fishing vessel,Purse seines,Purse seines,,,76.75,1929.0
247142250,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,20.86,55.0
224077590,Fishing vessel,Purse seines,Purse seines,,,15.14,16.71
247281250,Fishing vessel,Trawlers,Trawlers,,,22.5,85.0
211477000,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,17.18,53.0
227981000,Fishing vessel,Trawlers,Trawlers,,,22.8,127.46
211315230,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,11.83,15.0
237538000,Fishing vessel,Trawlers,Trawlers,,,29.0,165.0
247055540,Fishing vessel,Trawlers,Trawlers,,,15.92,31.0
247302320,Fishing vessel,Purse seines,Purse seines,Set gear,Set longlines,18.93,40.0
247120670,Fishing vessel,Trawlers,Trawlers,,,24.95,69.0
250001702,Fishing vessel,Set gear,Set gillnets,Trawlers,Trawlers,19.92,100.0
211199000,Fishing vessel,Trawlers,Trawlers,,,16.98,46.0
224385000,Fishing vessel,Set gear,Set longlines,Set gear,Set gillnets,34.2,392.65
224452000,Fishing vessel,Drifting longlines,Drifting longlines,,,29.0,236.0
278526000,Fishing vessel,Trawlers,Trawlers,,,16.2,22.42
219443000,Fishing vessel,Trawlers,Trawlers,,,34.8,265.0
247301090,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,18.07,38.0
224154000,Fishing vessel,Drifting longlines,Drifting longlines,,,46.45,681.0
219271000,Fishing vessel,Trawlers,Trawlers,,,40.3,449.0
247142320,Fishing vessel,Set gear,Set longlines,Set gear,Set gillnets,19.28,53.0
275127000,Fishing vessel,Trawlers,Trawlers,,,25.45,112.0
219009799,Fishing vessel,Set gear,Set gillnets,Trawlers,Trawlers,11.97,14.1
261011050,Fishing vessel,Trawlers,Trawlers,,,14.8,21.83
224261000,Fishing vessel,Drifting longlines,Drifting longlines,,,31.0,232.0
247070650,Fishing vessel,Trawlers,Trawlers,,,17.6,39.0
247065580,Fishing vessel,Purse seines,Purse seines,Pole and line,Pole and line,27.12,75.0
224052460,Fishing vessel,Purse seines,Purse seines,,,34.4,192.0
227625350,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,11.8,13.34
224143730,Fishing vessel,Drifting longlines,Drifting longlines,,,21.84,92.74
247121710,Fishing vessel,Trawlers,Trawlers,,,22.26,45.0
224267000,Fishing vessel,Drifting longlines,Drifting longlines,,,32.85,331.0
235000150,Fishing vessel,Trawlers,Trawlers,,,18.27,133.0
247101330,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,26.9,96.0
246364000,Fishing vessel,Trawlers,Trawlers,,,33.78,254.0
247144350,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,15.18,18.0
247255060,Fishing vessel,Trawlers,Trawlers,,,22.93,73.0
224100160,Fishing vessel,Purse seines,Purse seines,,,22.5,60.86
244644000,Fishing vessel,Trawlers,Trawlers,,,36.52,224.0
263408350,Fishing vessel,Purse seines,Purse seines,,,22.62,58.39
263447000,Fishing vessel,Trawlers,Trawlers,,,28.0,248.0
224125140,Fishing vessel,Trawlers,Trawlers,,,31.4,277.0
247083960,Fishing vessel,Trawlers,Trawlers,,,15.63,22.0
227641030,Fishing vessel,Trawlers,Trawlers,Set gear,Pots and traps,11.93,19.49
238448840,Fishing vessel,Purse seines,Purse seines,Set gear,Set gillnets,22.36,62.0
233714000,Fishing vessel,Trawlers,Trawlers,,,27.41,349.0
204260000,Fishing vessel,Trawlers,Trawlers,,,29.3,217.0
224044350,Fishing vessel,Trawlers,Trawlers,,,17.4,44.2
224337890,Fishing vessel,Purse seines,Purse seines,,,28.0,129.44
224182770,Fishing vessel,Trawlers,Trawlers,,,24.78,101.29
224190270,Fishing vessel,Purse seines,Purse seines,,,25.0,55.23
240337000,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,36.0,292.0
219005671,Fishing vessel,Set gear,Set gillnets,Set gear,Set longlines,11.99,9.8
247300030,Fishing vessel,Purse seines,Purse seines,,,23.85,63.0
219340000,Fishing vessel,Trawlers,Trawlers,,,48.55,735.0
247053160,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,18.74,39.0
219015362,Fishing vessel,Trawlers,Trawlers,,,16.99,104.0
224016530,Fishing vessel,Drifting longlines,Drifting longlines,,,27.3,170.51
224018370,Fishing vessel,Trawlers,Trawlers,,,24.97,89.3
238217440,Fishing vessel,Purse seines,Purse seines,Trawlers,Trawlers,22.1,72.0
263405570,Fishing vessel,Purse seines,Purse seines,,,21.09,34.45
219007932,Fishing vessel,Set gear,Set gillnets,Trawlers,Trawlers,10.86,8.1
224049380,Fishing vessel,Trawlers,Trawlers,,,25.12,98.91
211462000,Fishing vessel,Trawlers,Trawlers,,,16.35,35.0
227589000,Fishing vessel,Trawlers,Trawlers,,,14.4,36.0
247099420,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,18.55,51.0
256000656,Fishing vessel,Drifting longlines,Drifting longlines,Set gear,Set longlines,23.9,75.0
256000655,Fishing vessel,Trawlers,Trawlers,,,23.85,280.08
240759000,Fishing vessel,Purse seines,Purse seines,,,20.63,39.0
247092320,Fishing vessel,Trawlers,Trawlers,,,19.73,48.0
247127020,Fishing vessel,Set gear,Set longlines,Set gear,Set gillnets,15.72,34.0
244541000,Fishing vessel,Trawlers,Trawlers,,,39.55,331.0
265751000,Fishing vessel,Trawlers,Trawlers,,,25.3,88.0
247124510,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,17.39,65.0
224104430,Fishing vessel,Trawlers,Trawlers,,,21.25,65.9
247143890,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,19.65,49.0
235108172,Fishing vessel,Trawlers,Trawlers,,,28.0,494.58
235001800,Fishing vessel,Set gear,Pots and traps,,,22.5,185.0
247070360,Fishing vessel,Set gear,Set gillnets,,,16.78,31.0
227322230,Fishing vessel,Trawlers,Trawlers,,,15.9,64.14
224177000,Fishing vessel,Trawlers,Trawlers,,,36.0,340.0
245416000,Fishing vessel,Trawlers,Trawlers,,,17.66,24.0
227316590,Fishing vessel,Set gear,Set gillnets,Set gear,Set longlines,10.7,9.69
239136000,Fishing vessel,Drifting longlines,Drifting longlines,Set gear,Set gillnets,19.13,39.0
247053530,Fishing vessel,Trawlers,Trawlers,,,21.97,70.0
227312440,Fishing vessel,Set gear,Set gillnets,,,11.97,9.53
247123650,Fishing vessel,Trawlers,Trawlers,,,16.25,24.0
248000280,Fishing vessel,Drifting longlines,Drifting longlines,,,20.0,52.34
235095849,Fishing vessel,Trawlers,Trawlers,,,11.95,25.93
239114000,Fishing vessel,Purse seines,Purse seines,,,21.5,47.0
224173230,Fishing vessel,Trawlers,Trawlers,,,21.73,32.25
263576000,Fishing vessel,Set gear,Set longlines,Drifting longlines,Drifting longlines,40.95,593.0
247146830,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,30.02,131.0
244075000,Fishing vessel,Trawlers,Trawlers,,,23.94,138.0
224003450,Fishing vessel,Trawlers,Trawlers,,,20.2,48.48
205995000,Fishing vessel,Trawlers,Trawlers,,,19.1,57.0
224105460,Fishing vessel,Trawlers,Trawlers,,,16.6,20.83
238037040,Fishing vessel,Purse seines,Purse seines,,,17.55,26.97
261018980,Fishing vessel,Trawlers,Trawlers,,,14.95,51.08
