mmsi,itu_fishing,itu_label,itu_sublabel,itu_tonnage
204211000,Fishing vessel,Fishing vessel,,
204212000,Fishing vessel,Trawlers,Trawlers,
204213000,Fishing vessel,Fishing vessel,,
204218000,Fishing vessel,Fishing vessel,,
204228000,Fishing vessel,Fishing vessel,,
204232000,Fishing vessel,Fishing vessel,,
204233000,Fishing vessel,Fishing vessel,,
204235000,Fishing vessel,Fishing vessel,,
204237000,Fishing vessel,Fishing vessel,,
204238000,Fishing vessel,Fishing vessel,,
204239000,Fishing vessel,Fishing vessel,,
204259000,Fishing vessel,Fishing vessel,,
204268000,Fishing vessel,Fishing vessel,,
204284000,Fishing vessel,Fishing vessel,,
204819000,Fishing vessel,Fishing vessel,,
204821000,Fishing vessel,Fishing vessel,,
204837000,Fishing vessel,Fishing vessel,,
204848000,Fishing vessel,Fishing vessel,,
204853000,Fishing vessel,Fishing vessel,,
205010000,Fishing vessel,Fishing vessel,,
205017000,Fishing vessel,Fishing vessel,,94.0
205024000,Fishing vessel,Fishing vessel,,
205026000,Fishing vessel,Fishing vessel,,
205027000,Fishing vessel,Fishing vessel,,
205059000,Fishing vessel,Fishing vessel,,387.0
205076000,Fishing vessel,Fishing vessel,,135.0
205098000,Fishing vessel,Fishing vessel,,
205101000,Fishing vessel,Fishing vessel,,133.0
205121000,Fishing vessel,Fishing vessel,,37.0
205141000,Fishing vessel,Fishing vessel,,
205149000,Fishing vessel,Fishing vessel,,
205150000,Fishing vessel,Fishing vessel,,100.0
205153000,Fishing vessel,Fishing vessel,,275.0
205155000,Fishing vessel,Fishing vessel,,274.0
205156000,Fishing vessel,Fishing vessel,,
205160000,Fishing vessel,Fishing vessel,,
205161000,Fishing vessel,Fishing vessel,,252.0
205162000,Fishing vessel,Fishing vessel,,385.0
205163000,Fishing vessel,Fishing vessel,,
205164000,Fishing vessel,Fishing vessel,,
205165000,Fishing vessel,Fishing vessel,,207.0
205166000,Fishing vessel,Fishing vessel,,
205168000,Fishing vessel,Fishing vessel,,
205170000,Fishing vessel,Fishing vessel,,366.0
205189000,Fishing vessel,Fishing vessel,,12.0
205191000,Fishing vessel,Fishing vessel,,139.0
205197000,Fishing vessel,Fishing vessel,,311.0
205198000,Fishing vessel,Fishing vessel,,
205227000,Fishing vessel,Fishing vessel,,
205228000,Fishing vessel,Fishing vessel,,
205232000,Fishing vessel,Fishing vessel,,138.0
205236000,Fishing vessel,Fishing vessel,,130.0
205237000,Fishing vessel,Fishing vessel,,
205239000,Fishing vessel,Fishing vessel,,159.0
205241000,Fishing vessel,Fishing vessel,,336.0
205243000,Fishing vessel,Fishing vessel,,
205244000,Fishing vessel,Fishing vessel,,
205245000,Fishing vessel,Fishing vessel,,82.0
205246000,Fishing vessel,Fishing vessel,,388.0
205247000,Fishing vessel,Fishing vessel,,273.0
205248000,Fishing vessel,Fishing vessel,,
205249000,Fishing vessel,Fishing vessel,,
205254000,Fishing vessel,Fishing vessel,,
205258000,Fishing vessel,Fishing vessel,,109.0
205259000,Fishing vessel,Fishing vessel,,234.0
205260000,Fishing vessel,Fishing vessel,,264.0
205262000,Fishing vessel,Fishing vessel,,
205269000,Fishing vessel,Fishing vessel,,33.0
205270000,Fishing vessel,Fishing vessel,,
205271000,Fishing vessel,Fishing vessel,,33.0
205273000,Fishing vessel,Fishing vessel,,54.0
205274000,Fishing vessel,Fishing vessel,,
205275000,Fishing vessel,Fishing vessel,,254.0
205277000,Fishing vessel,Fishing vessel,,
205278000,Fishing vessel,Fishing vessel,,
205280000,Fishing vessel,Fishing vessel,,
205281000,Fishing vessel,Fishing vessel,,
205282000,Fishing vessel,Fishing vessel,,
205284000,Fishing vessel,Fishing vessel,,
205285000,Fishing vessel,Fishing vessel,,
205286000,Fishing vessel,Fishing vessel,,99.0
205287000,Fishing vessel,Fishing vessel,,79.0
205288000,Fishing vessel,Fishing vessel,,
205289000,Fishing vessel,Fishing vessel,,284.0
205290000,Fishing vessel,Fishing vessel,,78.0
205291000,Fishing vessel,Fishing vessel,,70.0
205292000,Fishing vessel,Fishing vessel,,17.0
205293000,Fishing vessel,Fishing vessel,,
205294000,Fishing vessel,Fishing vessel,,62.0
205296000,Fishing vessel,Fishing vessel,,60.0
205297000,Fishing vessel,Fishing vessel,,
205298000,Fishing vessel,Fishing vessel,,198.0
205299000,Fishing vessel,Fishing vessel,,
205301000,Fishing vessel,Fishing vessel,,
205302000,Fishing vessel,Fishing vessel,,
205303000,Fishing vessel,Fishing vessel,,
205304000,Fishing vessel,Fishing vessel,,
205305000,Fishing vessel,Fishing vessel,,
205311000,Fishing vessel,Fishing vessel,,
205315000,Fishing vessel,Fishing vessel,,44.0
205316000,Fishing vessel,Fishing vessel,,351.0
205317000,Fishing vessel,Fishing vessel,,
205319000,Fishing vessel,Fishing vessel,,68.0
205320000,Fishing vessel,Fishing vessel,,82.0
205321000,Fishing vessel,Fishing vessel,,329.0
205324000,Fishing vessel,Fishing vessel,,
205325000,Fishing vessel,Fishing vessel,,143.0
205331000,Fishing vessel,Fishing vessel,,
205333000,Fishing vessel,Fishing vessel,,396.0
205335000,Fishing vessel,Fishing vessel,,
205336000,Fishing vessel,Fishing vessel,,
205344000,Fishing vessel,Fishing vessel,,
205345000,Fishing vessel,Fishing vessel,,385.0
205498000,Fishing vessel,Fishing vessel,,24.0
205550000,Fishing vessel,Fishing vessel,,199.0
205632000,Fishing vessel,Fishing vessel,,44.0
205679000,Fishing vessel,Fishing vessel,,128.0
210101000,Fishing vessel,Fishing vessel,,45.0
211159000,Fishing vessel,Fishing vessel,,
211159560,Fishing vessel,Fishing vessel,,
211290000,Fishing vessel,Fishing vessel,,
211307520,Fishing vessel,Fishing vessel,,
211314990,Fishing vessel,Fishing vessel,,
211402250,Fishing vessel,Fishing vessel,,
211414290,Fishing vessel,Fishing vessel,,
211513270,Fishing vessel,Fishing vessel,,
211522000,Fishing vessel,Fishing vessel,,
211607000,Fishing vessel,Fishing vessel,,24.0
211648620,Fishing vessel,Fishing vessel,,
211667470,Fishing vessel,Fishing vessel,,
211670320,Fishing vessel,Fishing vessel,,86.0
211671890,Fishing vessel,Fishing vessel,,
211679080,Fishing vessel,Fishing vessel,,
211679730,Fishing vessel,Fishing vessel,,
211680250,Fishing vessel,Fishing vessel,,
211683800,Fishing vessel,Fishing vessel,,
211690220,Fishing vessel,Fishing vessel,,
211691070,Fishing vessel,Fishing vessel,,
211692850,Fishing vessel,Fishing vessel,,
211696170,Fishing vessel,Fishing vessel,,
211696740,Fishing vessel,Fishing vessel,,
211699510,Fishing vessel,Fishing vessel,,
211703530,Fishing vessel,Fishing vessel,,
211703540,Fishing vessel,Fishing vessel,,
211705040,Fishing vessel,Fishing vessel,,
211706170,Fishing vessel,Fishing vessel,,
211707460,Fishing vessel,Fishing vessel,,
212447000,Fishing vessel,Fishing vessel,,33.0
215000049,Fishing vessel,Fishing vessel,,2.5
215000058,Fishing vessel,Fishing vessel,,4.93
215000063,Fishing vessel,Fishing vessel,,76.0
215000065,Fishing vessel,Fishing vessel,,3.07
215000072,Fishing vessel,Fishing vessel,,2.44
215000330,Fishing vessel,Fishing vessel,,52.0
215000450,Fishing vessel,Fishing vessel,,21.3
215000540,Fishing vessel,Fishing vessel,,14.86
215000770,Fishing vessel,Fishing vessel,,106.46
215000780,Fishing vessel,Fishing vessel,,186.7
215000910,Fishing vessel,Fishing vessel,,97.0
215758000,Fishing vessel,Fishing vessel,,57.14
218799000,Fishing vessel,Fishing vessel,,
218803000,Fishing vessel,Fishing vessel,,
219000881,Fishing vessel,Fishing vessel,,
219001039,Fishing vessel,Trawlers,Trawlers,
219001149,Fishing vessel,Fishing vessel,,
219001265,Fishing vessel,Fishing vessel,,
219001275,Fishing vessel,Fishing vessel,,
219001343,Fishing vessel,Fishing vessel,,
219001553,Fishing vessel,Fishing vessel,,
219001624,Fishing vessel,Fishing vessel,,
219001872,Fishing vessel,Fishing vessel,,
219002023,Fishing vessel,Fishing vessel,,
219002676,Fishing vessel,Fishing vessel,,
219002682,Fishing vessel,Fishing vessel,,
219002686,Fishing vessel,Fishing vessel,,
219002823,Fishing vessel,Fishing vessel,,
219003009,Fishing vessel,Fishing vessel,,
219003066,Fishing vessel,Fishing vessel,,
219003369,Fishing vessel,Fishing vessel,,
219004254,Fishing vessel,Fishing vessel,,
219004275,Fishing vessel,Fishing vessel,,
219004385,Fishing vessel,Fishing vessel,,
219006761,Fishing vessel,Fishing vessel,,
219006795,Fishing vessel,Fishing vessel,,
219007338,Fishing vessel,Fishing vessel,,
219007348,Fishing vessel,Fishing vessel,,
219007432,Fishing vessel,Trawlers,Trawlers,
219007541,Fishing vessel,Fishing vessel,,
219007968,Fishing vessel,Fishing vessel,,
219008474,Fishing vessel,Trawlers,Trawlers,
219009171,Fishing vessel,Fishing vessel,,
219009202,Fishing vessel,Fishing vessel,,
219009464,Fishing vessel,Fishing vessel,,
219011018,Fishing vessel,Fishing vessel,,
219011134,Fishing vessel,Fishing vessel,,
219011613,Fishing vessel,Fishing vessel,,
219011857,Fishing vessel,Fishing vessel,,
219011876,Fishing vessel,Fishing vessel,,
