mmsi,itu_nonfishing_label,itu_nonfishing_sublabel,itu_nonfishing_fishing
203058200,Passenger,Passenger,Non-fishing
203116200,Passenger,Passenger,Non-fishing
203169200,Passenger,Passenger,Non-fishing
203170200,Passenger,Passenger,Non-fishing
203174200,Passenger,Passenger,Non-fishing
203178300,Passenger,Passenger,Non-fishing
203183300,Passenger,Passenger,Non-fishing
203188400,Passenger,Passenger,Non-fishing
203191200,Passenger,Passenger,Non-fishing
203197200,Passenger,Passenger,Non-fishing
203199400,Passenger,Passenger,Non-fishing
203204400,Passenger,Passenger,Non-fishing
203208200,Passenger,Passenger,Non-fishing
203220200,Passenger,Passenger,Non-fishing
203224300,Passenger,Passenger,Non-fishing
203229100,Passenger,Passenger,Non-fishing
203242100,Passenger,Passenger,Non-fishing
203246400,Passenger,Passenger,Non-fishing
203253400,Passenger,Passenger,Non-fishing
203255100,Passenger,Passenger,Non-fishing
203257100,Passenger,Passenger,Non-fishing
203259100,Passenger,Passenger,Non-fishing
203260100,Passenger,Passenger,Non-fishing
203263100,Passenger,Passenger,Non-fishing
203266400,Passenger,Passenger,Non-fishing
203293400,Passenger,Passenger,Non-fishing
203303100,Passenger,Passenger,Non-fishing
203306100,Passenger,Passenger,Non-fishing
203312200,Passenger,Passenger,Non-fishing
203319300,Passenger,Passenger,Non-fishing
203322100,Passenger,Passenger,Non-fishing
203324300,Passenger,Passenger,Non-fishing
203339100,Passenger,Passenger,Non-fishing
203341100,Passenger,Passenger,Non-fishing
203341300,Passenger,Passenger,Non-fishing
203342300,Passenger,Passenger,Non-fishing
203344300,Passenger,Passenger,Non-fishing
203345300,Passenger,Passenger,Non-fishing
203351300,Passenger,Passenger,Non-fishing
203362400,Passenger,Passenger,Non-fishing
203365300,Passenger,Passenger,Non-fishing
203366300,Passenger,Passenger,Non-fishing
203367300,Passenger,Passenger,Non-fishing
203368300,Passenger,Passenger,Non-fishing
203369300,Passenger,Passenger,Non-fishing
203371300,Passenger,Passenger,Non-fishing
203374300,Passenger,Passenger,Non-fishing
203375300,Passenger,Passenger,Non-fishing
203376300,Passenger,Passenger,Non-fishing
203377300,Passenger,Passenger,Non-fishing
203378200,Passenger,Passenger,Non-fishing
203378300,Passenger,Passenger,Non-fishing
203379300,Passenger,Passenger,Non-fishing
203379400,Passenger,Passenger,Non-fishing
203380100,Passenger,Passenger,Non-fishing
203381300,Passenger,Passenger,Non-fishing
203382300,Passenger,Passenger,Non-fishing
203383300,Passenger,Passenger,Non-fishing
203387300,Passenger,Passenger,Non-fishing
203388300,Passenger,Passenger,Non-fishing
203389300,Passenger,Passenger,Non-fishing
203392200,Passenger,Passenger,Non-fishing
203401300,Passenger,Passenger,Non-fishing
203402300,Passenger,Passenger,Non-fishing
203404300,Passenger,Passenger,Non-fishing
203405300,Passenger,Passenger,Non-fishing
203406300,Passenger,Passenger,Non-fishing
203408300,Passenger,Passenger,Non-fishing
203409300,Passenger,Passenger,Non-fishing
203411300,Passenger,Passenger,Non-fishing
203421300,Passenger,Passenger,Non-fishing
203422300,Passenger,Passenger,Non-fishing
203425300,Passenger,Passenger,Non-fishing
203428300,Passenger,Passenger,Non-fishing
203429300,Passenger,Passenger,Non-fishing
203431300,Passenger,Passenger,Non-fishing
203432300,Passenger,Passenger,Non-fishing
203433300,Passenger,Passenger,Non-fishing
203434300,Passenger,Passenger,Non-fishing
203435300,Passenger,Passenger,Non-fishing
203437300,Passenger,Passenger,Non-fishing
203439300,Passenger,Passenger,Non-fishing
203441100,Passenger,Passenger,Non-fishing
203441300,Passenger,Passenger,Non-fishing
203442100,Passenger,Passenger,Non-fishing
203442300,Passenger,Passenger,Non-fishing
203444300,Passenger,Passenger,Non-fishing
203445300,Passenger,Passenger,Non-fishing
203446300,Passenger,Passenger,Non-fishing
203452300,Passenger,Passenger,Non-fishing
203453300,Passenger,Passenger,Non-fishing
203458400,Passenger,Passenger,Non-fishing
203459300,Passenger,Passenger,Non-fishing
203461300,Passenger,Passenger,Non-fishing
203464300,Passenger,Passenger,Non-fishing
203466400,Passenger,Passenger,Non-fishing
203467400,Passenger,Passenger,Non-fishing
203469400,Passenger,Passenger,Non-fishing
203472400,Passenger,Passenger,Non-fishing
203473400,Passenger,Passenger,Non-fishing
203474400,Passenger,Passenger,Non-fishing
203475400,Passenger,Passenger,Non-fishing
203478400,Passenger,Passenger,Non-fishing
203479300,Passenger,Passenger,Non-fishing
203481300,Passenger,Passenger,Non-fishing
203483300,Passenger,Passenger,Non-fishing
203484300,Passenger,Passenger,Non-fishing
203485300,Passenger,Passenger,Non-fishing
203486300,Passenger,Passenger,Non-fishing
203486400,Passenger,Passenger,Non-fishing
203487300,Passenger,Passenger,Non-fishing
203489300,Passenger,Passenger,Non-fishing
203505400,Passenger,Passenger,Non-fishing
203533200,Passenger,Passenger,Non-fishing
203541400,Passenger,Passenger,Non-fishing
203548200,Passenger,Passenger,Non-fishing
203552400,Passenger,Passenger,Non-fishing
203570200,Passenger,Passenger,Non-fishing
203577400,Passenger,Passenger,Non-fishing
203609200,Passenger,Passenger,Non-fishing
203617400,Passenger,Passenger,Non-fishing
203623400,Passenger,Passenger,Non-fishing
203638400,Passenger,Passenger,Non-fishing
203645400,Passenger,Passenger,Non-fishing
203646400,Passenger,Passenger,Non-fishing
203647400,Passenger,Passenger,Non-fishing
203649400,Passenger,Passenger,Non-fishing
203653200,Passenger,Passenger,Non-fishing
203653400,Passenger,Passenger,Non-fishing
203654400,Passenger,Passenger,Non-fishing
203655400,Passenger,Passenger,Non-fishing
203658400,Passenger,Passenger,Non-fishing
203659400,Passenger,Passenger,Non-fishing
203660200,Passenger,Passenger,Non-fishing
203662400,Passenger,Passenger,Non-fishing
203664400,Passenger,Passenger,Non-fishing
203667400,Passenger,Passenger,Non-fishing
203668400,Passenger,Passenger,Non-fishing
203671400,Passenger,Passenger,Non-fishing
203674400,Passenger,Passenger,Non-fishing
203676400,Passenger,Passenger,Non-fishing
203678400,Passenger,Passenger,Non-fishing
203681400,Passenger,Passenger,Non-fishing
203688400,Passenger,Passenger,Non-fishing
203689400,Passenger,Passenger,Non-fishing
203692400,Passenger,Passenger,Non-fishing
