mmsi,reefer_fishing,reefer_label,reefer_sublabel,reefer_length,reefer_tonnage
111100000,Nonfishing vessel,Reefer,Reefer,,
200001140,Nonfishing vessel,Reefer,Reefer,,
204708000,Nonfishing vessel,Reefer,Reefer,100.6,4450.0
212856000,Nonfishing vessel,Reefer,Reefer,,
212857000,Nonfishing vessel,Reefer,Reefer,,
214182223,Nonfishing vessel,Reefer,Reefer,,
224124000,Nonfishing vessel,Reefer,Reefer,132.9,7207.0
224434000,Nonfishing vessel,Reefer,Reefer,105.0,4263.0
224500000,Nonfishing vessel,Reefer,Reefer,,
229382000,Nonfishing vessel,Reefer,Reefer,122.92,6964.0
229428000,Nonfishing vessel,Reefer,Reefer,122.92,6964.0
229563000,Nonfishing vessel,Reefer,Reefer,116.33,6082.0
229575000,Nonfishing vessel,Reefer,Reefer,117.135,5107.5
229587000,Nonfishing vessel,Reefer,Reefer,140.44,9072.0
229644000,Nonfishing vessel,Reefer,Reefer,129.196666667,6399.0
229705000,Nonfishing vessel,Reefer,Reefer,117.27,5100.0
229737000,Nonfishing vessel,Reefer,Reefer,,
229738000,Nonfishing vessel,Reefer,Reefer,,
229981000,Nonfishing vessel,Reefer,Reefer,,
244542000,Nonfishing vessel,Reefer,Reefer,102.43,3999.0
244790145,Nonfishing vessel,Reefer,Reefer,126.996666667,5471.0
244820009,Nonfishing vessel,Reefer,Reefer,117.135,5107.5
244915000,Nonfishing vessel,Reefer,Reefer,,
245317000,Nonfishing vessel,Reefer,Reefer,126.996666667,5471.0
245409000,Nonfishing vessel,Reefer,Reefer,133.92,5918.0
245723000,Nonfishing vessel,Reefer,Reefer,,
245973000,Nonfishing vessel,Reefer,Reefer,117.285,5100.0
246428000,Nonfishing vessel,Reefer,Reefer,,
249665000,Nonfishing vessel,Reefer,Reefer,115.0,5136.0
249842000,Nonfishing vessel,Reefer,Reefer,,
249889000,Nonfishing vessel,Reefer,Reefer,,
255802850,Nonfishing vessel,Reefer,Reefer,100.6,3981.0
256045000,Nonfishing vessel,Reefer,Reefer,,
256064000,Nonfishing vessel,Reefer,Reefer,,
256389000,Nonfishing vessel,Reefer,Reefer,,
259723000,Nonfishing vessel,Reefer,Reefer,112.39,6420.0
