mmsi,primary_geartype,secondary_geartype
265634070,Set gillnets,Pole and line
227632830,Pots and traps,Trawlers
227132100,Pole and line,Set longlines
219006383,Set gillnets,Set longlines
247122430,Trawlers,Purse seines
247150040,Trawlers,Set longlines
240384000,Purse seines,Set longlines
219002504,Trawlers,Set longlines
263422240,Set gillnets,Drifting longlines
247300760,Trawlers,Purse seines
247150050,Trawlers,Set longlines
247051030,Trawlers,Purse seines
247140750,Trawlers,Purse seines
247051080,Trawlers,Set gillnets
247121340,Trawlers,Set longlines
247300480,Trawlers,Purse seines
207343400,Set longlines,Trawlers
247081580,Trawlers,Purse seines
245553000,Set gillnets,Trawlers
227153230,Set longlines,Set gillnets
247152020,Trawlers,Set longlines
239901000,Purse seines,Fishing vessel
247145870,Trawlers,Set longlines
238300140,Purse seines,Trawlers
219009542,Fishing vessel,Trawlers
204829000,Pole and line,Pots and traps
239016000,Purse seines,Set gillnets
224492000,Set longlines,Set gillnets
247143640,Purse seines,Set longlines
247090860,Trawlers,Purse seines
219006333,Set gillnets,Set longlines
250140400,Pole and line,Trawlers
240459000,Drifting longlines,Set longlines
247111530,Trawlers,Set longlines
210975000,Drifting longlines,Set longlines
240021000,Trawlers,Purse seines
261002850,Set gillnets,Drifting longlines
250369000,Trawlers,Set gillnets
247133470,Trawlers,Set longlines
247051040,Trawlers,Purse seines
235079089,Pole and line,Fishing vessel
250102800,Set gillnets,Fishing vessel
224018440,Set longlines,Set gillnets
247088420,Trawlers,Purse seines
247130860,Trawlers,Set longlines
247150980,Trawlers,Purse seines
239186000,Purse seines,Set gillnets
247125260,Purse seines,Set longlines
247100710,Trawlers,Set gillnets
247140780,Purse seines,Set longlines
247103060,Trawlers,Purse seines
219007596,Fishing vessel,Set gillnets
247300350,Trawlers,Set longlines
244790766,Set gillnets,Purse seines
227412000,Set gillnets,Set longlines
244938000,Fishing vessel,Trawlers
237333000,Trawlers,Set gillnets
247146230,Trawlers,Set longlines
207829790,Trawlers,Set gillnets
250419000,Trawlers,Fishing vessel
256000512,Drifting longlines,Set longlines
211648000,Set gillnets,Set longlines
204848000,Pots and traps,Set longlines
237484000,Trawlers,Purse seines
219060000,Purse seines,Trawlers
230984250,Trawlers,Set gillnets
250002882,Pots and traps,Set gillnets
211344000,Trawlers,Set gillnets
219106000,Trawlers,Set gillnets
238892340,Purse seines,Trawlers
247070640,Trawlers,Purse seines
227413000,Set gillnets,Pots and traps
247123020,Trawlers,Set longlines
219012897,Set gillnets,Set longlines
247083490,Trawlers,Set gillnets
219754000,Trawlers,Set gillnets
227315980,Set gillnets,Set longlines
247050890,Trawlers,Set gillnets
235056045,Pots and traps,Set gillnets
219002005,Trawlers,Set gillnets
227667550,Trawlers,Set longlines
261012090,Trawlers,Set gillnets
250000917,Fishing vessel,Trawlers
247300170,Trawlers,Purse seines
247142460,Trawlers,Set longlines
224011260,Set longlines,Set gillnets
237622000,Trawlers,Purse seines
237344400,Drifting longlines,Set longlines
238896140,Trawlers,Set longlines
250429000,Trawlers,Purse seines
250001491,Fishing vessel,Trawlers
244630340,Set gillnets,Pole and line
261010020,Set gillnets,Drifting longlines
219009273,Set gillnets,Set longlines
247090930,Set longlines,Set gillnets
247123150,Trawlers,Set longlines
240450000,Set gillnets,Drifting longlines
239479000,Purse seines,Set longlines
250002872,Set gillnets,Fishing vessel
247030840,Trawlers,Purse seines
219001664,Trawlers,Set gillnets
247082420,Trawlers,Set gillnets
239385000,Set gillnets,Purse seines
238982010,Purse seines,Set gillnets
239323000,Purse seines,Set gillnets
247300290,Trawlers,Set gillnets
261001740,Set gillnets,Trawlers
265629560,Trollers,Fishing vessel
247068070,Trawlers,Set longlines
219853000,Fishing vessel,Trawlers
227316570,Pots and traps,Set gillnets
247144640,Trawlers,Set longlines
227646110,Trawlers,Pots and traps
239599000,Purse seines,Set gillnets
227631450,Trawlers,Set gillnets
227306990,Pots and traps,Set gillnets
247083370,Set longlines,Set gillnets
265677890,Trollers,Pots and traps
247158700,Trawlers,Purse seines
247087090,Trawlers,Set gillnets
220088000,Trawlers,Set gillnets
237887000,Trawlers,Purse seines
244810000,Fishing vessel,Trawlers
265606230,Set gillnets,Pole and line
235040079,Trawlers,Pots and traps
247120240,Trawlers,Purse seines
247145370,Trawlers,Set longlines
238757740,Trawlers,Purse seines
224040840,Set longlines,Pots and traps
219011032,Trawlers,Set gillnets
247133570,Trawlers,Set longlines
247122220,Trawlers,Purse seines
265651880,Set gillnets,Fishing vessel
238429040,Trawlers,Purse seines
247130410,Purse seines,Set longlines
237048000,Trawlers,Purse seines
239101000,Purse seines,Set longlines
247143470,Trawlers,Set longlines
247141040,Set longlines,Fishing vessel
224099320,Set longlines,Pots and traps
235105723,Pots and traps,Trawlers
240105000,Trawlers,Purse seines
261006830,Drifting longlines,Trawlers
219005805,Trawlers,Set gillnets
240461000,Set gillnets,Set longlines
240254000,Drifting longlines,Set longlines
219004178,Trawlers,Set gillnets
247149480,Trawlers,Pole and line
219014049,Trawlers,Set longlines
219006443,Set gillnets,Set longlines
247142880,Trawlers,Purse seines
239236000,Purse seines,Drifting longlines
227592060,Pots and traps,Set gillnets
237618000,Trawlers,Purse seines
219007404,Set gillnets,Set longlines
235071779,Pots and traps,Set gillnets
265701830,Set gillnets,Pole and line
247120500,Trawlers,Set longlines
247071940,Trawlers,Purse seines
238624910,Purse seines,Set longlines
227635980,Set gillnets,Pots and traps
246722000,Set gillnets,Pole and line
238001340,Purse seines,Set gillnets
247142730,Trawlers,Set longlines
239088000,Purse seines,Set longlines
247091060,Set longlines,Set gillnets
227532000,Set gillnets,Set longlines
220313000,Trawlers,Set gillnets
238014840,Trawlers,Purse seines
204206740,Pole and line,Drifting longlines
227315990,Set gillnets,Pots and traps
238150000,Purse seines,Trawlers
261000970,Set gillnets,Drifting longlines
220453000,Trawlers,Purse seines
247130060,Trawlers,Set longlines
248000190,Set longlines,Set gillnets
247080360,Set longlines,Set gillnets
219018852,Trawlers,Set gillnets
250002727,Set gillnets,Pots and traps
247050620,Trawlers,Purse seines
244750304,Set gillnets,Trawlers
219007333,Set gillnets,Set longlines
219017576,Set gillnets,Pots and traps
237316000,Trawlers,Purse seines
220032000,Trawlers,Set gillnets
265611970,Fishing vessel,Trollers
263414640,Set longlines,Drifting longlines
240131000,Trawlers,Purse seines
227570000,Fishing vessel,Set gillnets
238563210,Trawlers,Set gillnets
227581550,Pots and traps,Set gillnets
247150830,Trawlers,Purse seines
247127890,Trawlers,Set longlines
247072770,Trawlers,Set gillnets
247053550,Trawlers,Set gillnets
247155040,Trawlers,Purse seines
238899240,Purse seines,Set gillnets
247076010,Trawlers,Set longlines
246372000,Trawlers,Pole and line
219016588,Set longlines,Set gillnets
247101340,Trawlers,Purse seines
247308420,Trawlers,Purse seines
207429000,Set gillnets,Trawlers
247143030,Trawlers,Set longlines
263569000,Set longlines,Drifting longlines
247074210,Trawlers,Set gillnets
220461000,Purse seines,Trawlers
207833240,Trawlers,Set gillnets
261002560,Trawlers,Drifting longlines
247102990,Trawlers,Set gillnets
261008900,Set gillnets,Set longlines
250002299,Fishing vessel,Trawlers
238019440,Trawlers,Set longlines
227322670,Trawlers,Pots and traps
204814000,Set longlines,Drifting longlines
238838740,Purse seines,Trawlers
247113290,Trawlers,Purse seines
247220130,Trawlers,Purse seines
247121820,Trawlers,Purse seines
224015940,Set longlines,Pots and traps
247100680,Trawlers,Purse seines
247146320,Purse seines,Set longlines
247066860,Trawlers,Purse seines
219004473,Trawlers,Set gillnets
204203880,Pole and line,Set longlines
247308540,Trawlers,Purse seines
247143930,Trawlers,Set longlines
247143150,Trawlers,Purse seines
250000954,Pots and traps,Fishing vessel
247080330,Trawlers,Purse seines
265681420,Set gillnets,Pole and line
265699610,Pots and traps,Purse seines
224074180,Set longlines,Pots and traps
247122640,Trawlers,Set longlines
247050810,Trawlers,Set longlines
247152290,Trawlers,Set gillnets
224103970,Set longlines,Set gillnets
219009334,Set longlines,Set gillnets
250001151,Trawlers,Fishing vessel
247306040,Set gillnets,Trollers
261004440,Trawlers,Drifting longlines
247150930,Purse seines,Set longlines
247084310,Trawlers,Purse seines
209232000,Drifting longlines,Set gillnets
238955340,Purse seines,Trollers
261011770,Set gillnets,Trawlers
247119090,Trawlers,Set longlines
265691740,Fishing vessel,Pots and traps
227389000,Set longlines,Set gillnets
238902840,Purse seines,Set gillnets
247030920,Trawlers,Purse seines
247131130,Trawlers,Set longlines
238506240,Trawlers,Set longlines
238343740,Purse seines,Set longlines
263422760,Purse seines,Set gillnets
247083890,Trawlers,Purse seines
237567000,Trawlers,Purse seines
247302370,Trawlers,Set longlines
263420240,Purse seines,Set longlines
219650000,Fishing vessel,Trawlers
247100260,Trawlers,Purse seines
237547000,Purse seines,Trawlers
265694730,Pots and traps,Fishing vessel
227315850,Set gillnets,Trawlers
247131610,Trawlers,Purse seines
239707000,Purse seines,Fishing vessel
247302330,Purse seines,Set longlines
247131440,Trawlers,Set gillnets
219004633,Trawlers,Set gillnets
240526000,Purse seines,Set gillnets
261002910,Set gillnets,Drifting longlines
250000775,Pots and traps,Set gillnets
263427750,Set longlines,Drifting longlines
237390000,Trawlers,Set longlines
227567680,Set gillnets,Pots and traps
263422970,Set gillnets,Purse seines
227609410,Set longlines,Set gillnets
237058000,Trawlers,Purse seines
237562000,Trawlers,Purse seines
247053950,Trawlers,Set gillnets
247154490,Set longlines,Fishing vessel
247092390,Trawlers,Purse seines
265630670,Set gillnets,Pots and traps
247100580,Trawlers,Set longlines
247053580,Trawlers,Purse seines
225382000,Set longlines,Set gillnets
247064760,Trawlers,Purse seines
219005902,Set gillnets,Trawlers
247149250,Trawlers,Purse seines
227635230,Trawlers,Set gillnets
247151160,Trawlers,Set longlines
247127130,Trawlers,Set longlines
204269000,Set gillnets,Pots and traps
207829520,Set gillnets,Trawlers
261003920,Set gillnets,Drifting longlines
241666000,Set longlines,Set gillnets
250002704,Trawlers,Fishing vessel
227618730,Trawlers,Pots and traps
215000063,Drifting longlines,Set longlines
238647310,Purse seines,Set gillnets
207827920,Trawlers,Set gillnets
235078471,Pots and traps,Fishing vessel
265650120,Pole and line,Fishing vessel
219007027,Trawlers,Set gillnets
240417000,Purse seines,Set longlines
240456000,Set longlines,Set gillnets
244670929,Set gillnets,Pole and line
247101230,Trawlers,Purse seines
227591030,Trawlers,Drifting longlines
263408240,Set gillnets,Fishing vessel
219007034,Trawlers,Set gillnets
224094770,Set longlines,Pots and traps
247080550,Trawlers,Purse seines
211517110,Set gillnets,Trawlers
237915000,Trawlers,Purse seines
266322000,Fishing vessel,Trawlers
207822570,Trawlers,Fishing vessel
247304980,Trawlers,Set longlines
237885000,Trawlers,Purse seines
247141340,Set longlines,Fishing vessel
265737300,Pots and traps,Trollers
266371000,Trawlers,Pots and traps
244615490,Trawlers,Set gillnets
247083530,Trawlers,Purse seines
247068130,Trawlers,Purse seines
237448000,Trawlers,Set gillnets
207829360,Trawlers,Set gillnets
219007544,Trawlers,Set gillnets
207828530,Set gillnets,Trawlers
224440790,Set longlines,Pots and traps
227322270,Trawlers,Set gillnets
240107000,Trawlers,Purse seines
227681710,Trawlers,Set gillnets
247140320,Purse seines,Set longlines
247185500,Trawlers,Purse seines
247101020,Trawlers,Purse seines
247110190,Purse seines,Trawlers
247094310,Trawlers,Purse seines
247147780,Trawlers,Purse seines
238197240,Trawlers,Pole and line
219009274,Trawlers,Set gillnets
240406000,Set longlines,Set gillnets
220327000,Trawlers,Set gillnets
237312000,Trawlers,Purse seines
219016474,Set gillnets,Trawlers
227320310,Set gillnets,Pots and traps
261006880,Trawlers,Drifting longlines
247151690,Trawlers,Set longlines
239583300,Set longlines,Drifting longlines
247100410,Purse seines,Trawlers
247140840,Trawlers,Set longlines
247152310,Trawlers,Set longlines
224017450,Set longlines,Pots and traps
247121540,Trawlers,Set longlines
247303390,Trawlers,Set longlines
245287000,Set gillnets,Pots and traps
219002368,Trawlers,Fishing vessel
235074868,Trawlers,Pots and traps
237435000,Purse seines,Set longlines
240910000,Purse seines,Set gillnets
204274000,Set gillnets,Set longlines
227316520,Pots and traps,Set gillnets
265612240,Trawlers,Fishing vessel
263420690,Set gillnets,Pots and traps
227647080,Set gillnets,Pots and traps
266424000,Trawlers,Set longlines
227894000,Set gillnets,Set longlines
247146770,Trawlers,Set longlines
247302510,Trawlers,Purse seines
218442000,Trawlers,Set gillnets
219013485,Trawlers,Fishing vessel
