mmsi,length,tonnage,tonnage_type,Engine_Power,Power_Units,power
412687180,20.7,115,GT,237,KW,237.0
416004299,23.9,99.7,GT,940,HP,705.0
412689850,32.4,128,GT,407,KW,407.0
416003700,56.9,720,GT,1400,HP,1050.0
416003700,56.9,720,GT,1400,HP,1050.0
441811000,51.19,483,GT,1600,HP,1200.0
441811000,51.19,483,GT,1600,HP,1200.0
441811000,51.19,483,GT,1600,HP,1200.0
441812000,51.19,488,GT,1600,HP,1200.0
441812000,51.19,488,GT,1600,HP,1200.0
441812000,51.19,488,GT,1600,HP,1200.0
510053000,29.7,96,GT,600,HP,450.0
416004329,23.8,74.82,GT,700,HP,525.0
412500244,33.78,228,GT,375,KW,375.0
412500245,33.78,228,GT,375,KW,375.0
416237600,23.95,97.88,GT,940,HP,705.0
412270059,50,647,GT,1029,HP,771.75
412270059,50,647,GT,1029,HP,771.75
412270059,50,647,GT,1029,HP,771.75
367512170,88.4,171,GRT,900,HP,675.0
367512170,88.4,171,GRT,900,HP,675.0
441219875,35.5,255,GT,450,KW,450.0
412326894,35.5,255,GT,450,KW,450.0
412326895,35.5,255,GT,450,KW,450.0
441219878,35.5,255,GT,450,KW,450.0
416237800,23.95,97.55,GT,939,HP,704.25
416237700,23.95,98.4,GT,940,HP,705.0
444080710,79.9,"1,971.00",GT,4500,HP,3375.0
444080710,79.9,"1,971.00",GT,4500,HP,3375.0
412689860,32.4,128,GT,407,KW,407.0
412689870,32.4,128,GT,407,KW,407.0
412689880,32.4,128,GT,407,KW,407.0
413011000,48.6,523,GT,882,KW,882.0
413011000,48.6,523,GT,882,KW,882.0
413011000,48.6,523,GT,882,KW,882.0
412691310,48.6,523,GT,1029,HP,771.75
412691310,48.6,523,GT,1029,HP,771.75
412691310,48.6,523,GT,1029,HP,771.75
416001327,20.8,33.78,GT,545,HP,408.75
416001504,19.78,28.9,GT,340,HP,255.0
416001468,19.96,31.71,GT,500,HP,375.0
416002755,20.8,28.51,GT,420,HP,315.0
416001306,17.9,29.48,GT,380,HP,285.0
441600589,48.64,657,GT,1029,HP,771.75
441600589,48.64,657,GT,1029,HP,771.75
416209900,17.5,29.73,GT,350,HP,262.5
416002017,17.5,31.96,GT,450,HP,337.5
413034000,66.23,"1,087.00",GT,2205,KW,2205.0
577290000,55.45,598,GRT,1600,PS,1184.0
577290000,55.45,598,GRT,1600,PS,1184.0
431702990,49.9,435,GRT,735,PS,543.9
431702990,49.9,435,GRT,735,PS,543.9
431702990,49.9,435,GRT,735,PS,543.9
431702990,49.9,435,GRT,735,PS,543.9
431702990,49.9,435,GRT,735,PS,543.9
431154000,49.2,437,GRT,735,KW,735.0
431154000,49.2,437,GRT,735,KW,735.0
431154000,49.2,437,GRT,735,KW,735.0
431154000,49.2,437,GRT,735,KW,735.0
431154000,49.2,437,GRT,735,KW,735.0
431853000,56.05,499,GRT,735,KW,735.0
431853000,56.05,499,GRT,735,KW,735.0
431853000,56.05,499,GRT,735,KW,735.0
431853000,56.05,499,GRT,735,KW,735.0
431704330,49.9,409,GRT,735,KW,735.0
431704330,49.9,409,GRT,735,KW,735.0
431704330,49.9,409,GRT,735,KW,735.0
431704330,49.9,409,GRT,735,KW,735.0
431704330,49.9,409,GRT,735,KW,735.0
431704420,48.4,409,GRT,735,KW,735.0
431704420,48.4,409,GRT,735,KW,735.0
431704420,48.4,409,GRT,735,KW,735.0
431704420,48.4,409,GRT,735,KW,735.0
431704420,48.4,409,GRT,735,KW,735.0
431380000,51.2,469,GRT,1176,KW,1176.0
431380000,51.2,469,GRT,1176,KW,1176.0
431380000,51.2,469,GRT,1176,KW,1176.0
431380000,51.2,469,GRT,1176,KW,1176.0
431380000,51.2,469,GRT,1176,KW,1176.0
431753000,49.9,409,GRT,1176,KW,1176.0
431753000,49.9,409,GRT,1176,KW,1176.0
431753000,49.9,409,GRT,1176,KW,1176.0
431753000,49.9,409,GRT,1176,KW,1176.0
431753000,49.9,409,GRT,1176,KW,1176.0
431101210,48.19,409,GRT,735,KW,735.0
431101210,48.19,409,GRT,735,KW,735.0
431101210,48.19,409,GRT,735,KW,735.0
431101210,48.19,409,GRT,735,KW,735.0
431101210,48.19,409,GRT,735,KW,735.0
432408000,49.99,439,GRT,735,KW,735.0
432408000,49.99,439,GRT,735,KW,735.0
432408000,49.99,439,GRT,735,KW,735.0
432408000,49.99,439,GRT,735,KW,735.0
432408000,49.99,439,GRT,735,KW,735.0
431613000,49.2,379,GRT,735,KW,735.0
431613000,49.2,379,GRT,735,KW,735.0
431613000,49.2,379,GRT,735,KW,735.0
431613000,49.2,379,GRT,735,KW,735.0
432346000,50.6,439,GRT,1176,KW,1176.0
432346000,50.6,439,GRT,1176,KW,1176.0
432346000,50.6,439,GRT,1176,KW,1176.0
432346000,50.6,439,GRT,1176,KW,1176.0
432346000,50.6,439,GRT,1176,KW,1176.0
431700550,51.2,454,GRT,660,PS,488.4
431700550,51.2,454,GRT,660,PS,488.4
431700550,51.2,454,GRT,660,PS,488.4
431700550,51.2,454,GRT,660,PS,488.4
431700550,51.2,454,GRT,660,PS,488.4
432282000,49.2,409,GRT,470,PS,347.8
432282000,49.2,409,GRT,470,PS,347.8
432282000,49.2,409,GRT,470,PS,347.8
432282000,49.2,409,GRT,470,PS,347.8
432282000,49.2,409,GRT,470,PS,347.8
431791000,49.9,423,GRT,520,PS,384.8
431791000,49.9,423,GRT,520,PS,384.8
431791000,49.9,423,GRT,520,PS,384.8
431791000,49.9,423,GRT,520,PS,384.8
431791000,49.9,423,GRT,520,PS,384.8
431702580,48.4,391,GRT,520,PS,384.8
431702580,48.4,391,GRT,520,PS,384.8
431702580,48.4,391,GRT,520,PS,384.8
431702580,48.4,391,GRT,520,PS,384.8
431702580,48.4,391,GRT,520,PS,384.8
431703560,49.38,409,GRT,735,KW,735.0
431703560,49.38,409,GRT,735,KW,735.0
431703560,49.38,409,GRT,735,KW,735.0
431703560,49.38,409,GRT,735,KW,735.0
431703560,49.38,409,GRT,735,KW,735.0
431864000,51.2,439,GRT,735,KW,735.0
431864000,51.2,439,GRT,735,KW,735.0
431864000,51.2,439,GRT,735,KW,735.0
431864000,51.2,439,GRT,735,KW,735.0
431864000,51.2,439,GRT,735,KW,735.0
432276000,51.4,499,GRT,735,KW,735.0
432276000,51.4,499,GRT,735,KW,735.0
432276000,51.4,499,GRT,735,KW,735.0
432276000,51.4,499,GRT,735,KW,735.0
432276000,51.4,499,GRT,735,KW,735.0
431893000,51.4,439,GRT,735,KW,735.0
431893000,51.4,439,GRT,735,KW,735.0
431893000,51.4,439,GRT,735,KW,735.0
431893000,51.4,439,GRT,735,KW,735.0
431855000,51.2,439,GRT,735,KW,735.0
431855000,51.2,439,GRT,735,KW,735.0
431855000,51.2,439,GRT,735,KW,735.0
431855000,51.2,439,GRT,735,KW,735.0
431424000,52.76,498,GRT,735,KW,735.0
431424000,52.76,498,GRT,735,KW,735.0
431424000,52.76,498,GRT,735,KW,735.0
431424000,52.76,498,GRT,735,KW,735.0
431873000,51.4,499,GRT,735,KW,735.0
431873000,51.4,499,GRT,735,KW,735.0
431873000,51.4,499,GRT,735,KW,735.0
431873000,51.4,499,GRT,735,KW,735.0
431873000,51.4,499,GRT,735,KW,735.0
431889000,51.4,499,GRT,735,KW,735.0
431889000,51.4,499,GRT,735,KW,735.0
431889000,51.4,499,GRT,735,KW,735.0
431889000,51.4,499,GRT,735,KW,735.0
431889000,51.4,499,GRT,735,KW,735.0
432458000,52.6,499,GRT,1323,KW,1323.0
432458000,52.6,499,GRT,1323,KW,1323.0
432458000,52.6,499,GRT,1323,KW,1323.0
432458000,52.6,499,GRT,1323,KW,1323.0
