mmsi,Expert Label,Notes,nn_times_classified,nn_number_max_labels,nn_average_length,nn_stddev_length,nn_max_label,nn_max_score,nn_max_label_fishing,nn_max_fishing_score,nn_max_sublabel,nn_max_sub_score,nn_max_sublabel_fishing,nn_max_sub_fishing_score,nn_times_classified_all,nn_number_max_labels_all,nn_average_length_all,nn_stdev_length_all,nn_max_label_all,nn_max_score_all,nn_max_label_fishing_all,nn_max_fishing_score_all,nn_max_sublabel_all,nn_max_sub_score_all,nn_max_sublabel_fishing_all,nn_max_sub_fishing_score_all,positions,active_positions,active_hours,fishing_points,num_A,num_B,iso3,country_name,average_length,stddev_length,number_distinct_lengths,avg_width,number_valid_length_messages,shipname,num_shipnames,imo,num_imos,callsign,num_callsign,gap_hours,num_gaps,training_label,training_sublabel,training_length,training_listsources,spoofing_hours,num_overlapping_segs
412280982,factory trawler,VL,3,1,60.378987630208336,5.111267822688842,Trawlers,0.9834928313891093,Trawlers,0.9834928313891093,Trawlers,0.9786405563354492,Trawlers,0.9786405563354492,3,1,60.378987630208336,5.111267822688842,Trawlers,0.9834928313891093,Trawlers,0.9834928313891093,Trawlers,0.9786405563354492,Trawlers,0.9786405563354492,66354,40678,5381.772222221992,19736,44834,0,CHN,China,98.0,0.0,1,15.0,14680,LONGDA,1,8225412,1,BZYC,1,265.74305555555554,5,Trawlers,,92.33,ccamlr_fishing,469.1647222222222,1
645374000,Purse_seines,VL,1,1,58.177852630615234,,Trawlers,0.9803622961044312,Trawlers,0.9803622961044312,Trawlers,0.9866179823875427,Trawlers,0.9866179823875427,3,2,55.06515121459961,5.334931799232129,Trawlers,0.6578846633492503,Trawlers,0.6578846633492503,Trawlers,0.65924901534648,Trawlers,0.65924901534648,4481,1539,519.1202777777778,108,2302,0,MUS,Mauritius,90.0,0.0,1,14.0,1595,F/V BELLE ISLE,1,9679634,1,3BRZ,1,6212.6475,6,,,,,,
416000547,Drifting_longlines,VL,1,1,34.09944534301758,,Trawlers,0.9507992267608643,Trawlers,0.9507992267608643,Trawlers,0.9555991888046265,Trawlers,0.9555991888046265,1,1,34.09944534301758,,Trawlers,0.9507992267608643,Trawlers,0.9507992267608643,Trawlers,0.9555991888046265,Trawlers,0.9555991888046265,2273,2273,4982.373194444445,1232,3,0,TWN,Taiwan,26.0,0.0,1,6.0,217,SHIN LIAN FA NO.168,3,,,BJ3633,1,4334.552222222222,23,,,,,,
416112600,multiple gear reported at FAO,VL,1,1,61.91057586669922,,Trawlers,0.9467788338661194,Trawlers,0.9467788338661194,Trawlers,0.9421041011810303,Trawlers,0.9421041011810303,1,1,61.91057586669922,,Trawlers,0.9467788338661194,Trawlers,0.9467788338661194,Trawlers,0.9421041011810303,Trawlers,0.9421041011810303,4893,4176,1280.9309722222226,1767,3495,0,TWN,Taiwan,54.0,0.0,1,9.0,277,WIN FAR 868,3,,,BI2568,1,,,,,,,1039.7108333333333,7
416124600,Drifting_longlines,VL,2,1,37.328277587890625,3.230722502705343,Trawlers,0.9055801928043365,Trawlers,0.9055801928043365,Trawlers,0.8995901346206665,Trawlers,0.8995901346206665,3,2,36.60686111450195,2.603864268538777,Trawlers,0.6290406609574953,Trawlers,0.6290406609574953,Trawlers,0.6244101400176684,Trawlers,0.6244101400176684,5117,4811,5093.735416666673,3033,27,0,TWN,Taiwan,,,,,,RUEI CHIH FA,2,,,BG2712,2,1205.1008333333332,17,,,,,1487.5158333333334,1
416000012,unknown_fishing,VL,1,1,31.657672882080078,,Trawlers,0.9009591341018677,Trawlers,0.9009591341018677,Trawlers,0.9290133714675903,Trawlers,0.9290133714675903,2,2,32.80107879638672,1.6170201513100602,Drifting_longlines,0.5401289984583855,Drifting_longlines,0.5401289984583855,Drifting_longlines,0.5288467705249786,Drifting_longlines,0.5288467705249786,1811,1586,2985.076388888888,571,0,0,TWN,Taiwan,,,,,,HAW YU FA,3,,,,2,5991.832222222222,20,,,,,,
258523000,unknown_fishing,VL - ask Bjorn,3,1,47.95307922363281,0.7844452488013193,Trawlers,0.8959880073865255,Trawlers,0.8959880073865255,Trawlers,0.8876001040140787,Trawlers,0.8876001040140787,9,2,45.88002183702257,3.9520864495866688,Trawlers,0.7269866168498993,Trawlers,0.7269866168498993,Trawlers,0.7249882602029376,Trawlers,0.7249882602029376,36485,28640,7616.553194444428,11063,21997,0,NOR,Norway,55.995633868704196,0.34964507186939,2,11.999844066739435,6413,DR.FRIDTJOF NANSEN,3,9062934,1,LGWS,2,487.36361111111114,10,,,,,3.2808333333333333,3
416004427,unknown_fishing,VL,3,1,29.245466232299805,8.399663742552645,Trawlers,0.8895747065544128,Trawlers,0.8895747065544128,Trawlers,0.9041457772254944,Trawlers,0.9041457772254944,6,2,30.919917424519856,5.664087776090003,Trawlers,0.554442434804514,Trawlers,0.554442434804514,Trawlers,0.5662111796749135,Trawlers,0.5662111796749135,10915,5425,4873.974583333329,2194,953,0,TWN,Taiwan,,,,,,DE HAI NO.16,2,,,BJ5078,2,4054.458888888888,40,,,,,21.60388888888889,1
225461000,fishery patrol vessel ,VL,2,1,26.499731063842773,1.3685007533033913,Trawlers,0.8392974138259888,Trawlers,0.8392974138259888,Trawlers,0.8754429221153259,Trawlers,0.8754429221153259,3,2,30.626251220703125,7.212551765555678,Trawlers,0.5598057981890937,Trawlers,0.5598057981890937,Trawlers,0.583856157939105,Trawlers,0.583856157939105,1730,1144,1064.9547222222225,147,1420,0,ESP,Spain,35.0,0.0,1,9.0,279,GARBOLA,1,9747560,1,EAEZ,1,4359.023888888888,21,,,,,,
416002794,Drifting_longlines,VL,3,1,28.626022338867188,7.2627536935482375,Trawlers,0.8237191239992777,Trawlers,0.8237191239992777,Trawlers,0.8445826768875122,Trawlers,0.8445826768875122,4,1,30.87730312347412,7.445678041208024,Trawlers,0.8460759073495865,Trawlers,0.8460759073495865,Trawlers,0.8655758649110794,Trawlers,0.8655758649110794,17039,5579,6772.7231944444575,2125,1781,0,TWN,Taiwan,,,,,,FWU FA NO.6,2,,,BJ4847,2,1010.0583333333333,23,,,,,1497.7280555555556,1
440316000,Drifting_longlines,VL,3,1,34.92261759440104,3.9979797969263,Trawlers,0.8061863382657369,Trawlers,0.8061863382657369,Trawlers,0.832480768362681,Trawlers,0.832480768362681,3,1,34.92261759440104,3.9979797969263,Trawlers,0.8061863382657369,Trawlers,0.8061863382657369,Trawlers,0.832480768362681,Trawlers,0.832480768362681,7564,6627,6409.456111111105,2780,6514,0,KOR,South Korea,30.0,0.0,1,6.0,818,KWANG HYUN 803,1,4657980,1,6KCE2,1,1069.1469444444444,13,,,,,385.0119444444444,3
416103900,unknown_fishing,VL,2,1,55.31058692932129,0.9820822617656866,Trawlers,0.7838001847267151,Trawlers,0.7838001847267151,Trawlers,0.7536449134349823,Trawlers,0.7536449134349823,2,1,55.31058692932129,0.9820822617656866,Trawlers,0.7838001847267151,Trawlers,0.7838001847267151,Trawlers,0.7536449134349823,Trawlers,0.7536449134349823,8462,5588,3182.4541666666673,1822,3368,0,TWN,Taiwan,57.0,0.0,1,10.0,1821,CHIEN WEI NO.3,4,,,BI2251,2,4033.364166666667,28,,,,,,
533333003,unknown_fishing,VL,2,1,35.78220558166504,4.0827524026083575,Trawlers,0.72413769364357,Trawlers,0.72413769364357,Trawlers,0.7361502647399902,Trawlers,0.7361502647399902,5,3,32.58558235168457,3.6123790318892746,Trawlers,0.5129925422370434,Trawlers,0.5129925422370434,Trawlers,0.5175209794193506,Trawlers,0.5175209794193506,3317,3275,6913.597777777775,1330,1,0,MYS,Malaysia,,,,,,KHA YANG 3,1,,,,1,1051.5258333333336,23,,,,,1066.9577777777777,1
664145000,Drifting_longlines,VL,2,1,57.10343933105469,4.580225479748751,Trawlers,0.7232769578695297,Trawlers,0.7232769578695297,Trawlers,0.6882250010967255,Trawlers,0.6882250010967255,2,1,57.10343933105469,4.580225479748751,Trawlers,0.7232769578695297,Trawlers,0.7232769578695297,Trawlers,0.6882250010967255,Trawlers,0.6882250010967255,2537,1677,2810.3234722222196,861,0,0,SYC,Seychelles,,,,,,CHUN I NO.326,2,,,,1,238.42000000000002,3,,,,,519.8941666666667,1
416047600,multiple gears reported ,VL,3,2,57.780802408854164,5.202526170888741,Trawlers,0.6825901915629705,Trawlers,0.6825901915629705,Trawlers,0.6705772404869398,Trawlers,0.6705772404869398,3,2,57.780802408854164,5.202526170888741,Trawlers,0.6825901915629705,Trawlers,0.6825901915629705,Trawlers,0.6705772404869398,Trawlers,0.6705772404869398,19014,15292,2675.172916666668,2707,10042,0,TWN,Taiwan,47.0,0.0,1,8.0,7187,WIN  FAR  818,2,,,BH-3335,2,4696.8966666666665,14,,,,,684.405,2
416004236,Drifting_longlines,VL,1,1,27.475988388061523,,Trawlers,0.681626558303833,Trawlers,0.681626558303833,Trawlers,0.6999390721321106,Trawlers,0.6999390721321106,2,2,30.915852546691895,4.864702545856186,Drifting_longlines,0.6089562550187111,Drifting_longlines,0.6089562550187111,Drifting_longlines,0.5981084555387497,Drifting_longlines,0.5981084555387497,2139,1620,5259.970833333333,679,0,0,TWN,Taiwan,33.0,0.0,1,6.0,222,SHIN SHUEN FAR NO668,2,,,BG3694,1,4533.458055555555,65,,,,,,
416002325,unknown_fishing,VL - ask Bjorn,3,1,35.542633056640625,1.76192951922352,Trawlers,0.6781539718310038,Trawlers,0.6781539718310038,Trawlers,0.6894104679425558,Trawlers,0.6894104679425558,6,2,36.60780016581217,2.5195256392045637,Trawlers,0.6021320316940546,Trawlers,0.6021320316940546,Trawlers,0.6166346116612355,Trawlers,0.6166346116612355,10745,6043,6795.003472222232,3076,0,0,TWN,Taiwan,,,,,,TENN MING YANG NO889,4,,,BJ4793,2,1603.0852777777775,11,,,,,2144.4513888888887,1
416530000,Drifting_longlines,VL,2,2,48.47632598876953,1.1374874702942075,Trawlers,0.6644442975521088,Trawlers,0.6644442975521088,Trawlers,0.6391869485378265,Trawlers,0.6391869485378265,2,2,48.47632598876953,1.1374874702942075,Trawlers,0.6644442975521088,Trawlers,0.6644442975521088,Trawlers,0.6391869485378265,Trawlers,0.6391869485378265,6078,3767,5790.245138888888,2007,0,0,TWN,Taiwan,55.0,0.0,1,8.0,1513,CHUN I NO217,2,,,BI2353,2,717.4838888888887,19,,,,,,
416004245,Drifting_longlines,VL,3,2,33.70350011189779,2.0767220424967547,Trawlers,0.6423066308101019,Trawlers,0.6423066308101019,Trawlers,0.6515933101375898,Trawlers,0.6515933101375898,3,2,33.70350011189779,2.0767220424967547,Trawlers,0.6423066308101019,Trawlers,0.6423066308101019,Trawlers,0.6515933101375898,Trawlers,0.6515933101375898,14260,5948,6984.0677777777755,2698,1332,0,TWN,Taiwan,,,,,,DE HAI NO.6,3,,,BJ5059,2,1103.206111111111,22,,,,,24.55611111111111,1
503552000,unknown_fishing,VL,3,2,81.18194071451823,7.889429714509783,Trawlers,0.6406550183116148,Trawlers,0.6406550183116148,Trawlers,0.6304568084112058,Trawlers,0.6304568084112058,3,2,81.18194071451823,7.889429714509783,Trawlers,0.6406550183116148,Trawlers,0.6406550183116148,Trawlers,0.6304568084112058,Trawlers,0.6304568084112058,58999,48298,3555.8897222221976,24745,51675,0,AUS,Australia,68.0,0.0,1,12.0,7639,ATLAS COVE,2,9171008,1,VHJT,1,2270.327222222222,5,,,68.1,ccamlr_fishing,0.026111111111111113,1
