,lat_bin,lon_bin,f0_
0,-72,-180,92.9738888889
1,-15,-111,339.561805556
2,-2,-104,151.585277778
3,55,14,22046.0276389
4,55,148,17247.1694444
5,-21,173,1008.35291667
6,45,142,553.95375
7,-17,165,931.695416667
8,60,-6,6187.16208333
9,66,-20,19533.4358333
10,-10,160,610.823888889
11,-13,-175,629.575
12,55,-10,7019.18347222
13,70,19,5164.57125
14,-8,172,1570.00708333
15,2,156,1305.18555556
16,34,134,3087.87430556
17,3,-153,456.778055556
18,-34,-72,453.125416667
19,-26,75,64.8334722222
20,-9,45,348.27875
21,-7,165,774.469305556
22,49,1,1861.57944444
23,33,-142,14.68625
24,-15,-118,207.065416667
25,-19,61,802.553888889
26,38,8,11328.1451389
27,-2,-110,232.435416667
28,-25,62,135.375138889
29,39,3,9718.92375
30,3,162,755.45375
31,7,169,3292.15888889
32,67,-17,2002.65138889
33,-19,-150,39.8313888889
34,-24,105,296.508333333
35,-23,-8,53.4308333333
36,-37,158,223.088611111
37,-10,54,630.314027778
38,-10,177,1267.85694444
39,-4,-128,88.3511111111
40,-50,-53,14.2315277778
41,31,-41,120.375
42,3,179,984.180833333
43,-19,-126,573.960972222
44,-20,-78,1323.06972222
45,-20,173,871.538055556
46,8,-175,32.8077777778
47,46,-57,2188.43875
48,57,-169,1396.69222222
49,-5,-152,173.18375
50,45,14,2693.17444444
51,39,-19,520.946944444
52,4,154,713.162083333
53,-10,4,127.935972222
54,31,145,511.488333333
55,-5,-106,28.1268055556
56,-26,155,617.950555556
57,70,35,1458.67736111
58,32,-167,106.349166667
59,-21,-71,971.710972222
60,27,169,254.365138889
61,-3,-81,211.660416667
62,29,168,87.9094444444
63,-24,-13,86.4027777778
64,-12,163,1389.85027778
65,4,-150,787.424722222
66,52,-130,546.147638889
67,-29,58,98.0488888889
68,8,-107,38.4366666667
69,59,-34,8.08291666667
70,-17,-175,278.002083333
71,19,138,234.85875
72,-54,-68,100.394166667
73,-15,-81,10307.5056944
74,-21,157,1230.685
75,20,-156,4.74805555556
76,34,-76,183.127083333
77,-30,58,112.374305556
78,-22,158,1013.08763889
79,37,-24,114.755416667
80,-28,-14,256.550972222
81,-69,-84,6.36569444444
82,-5,94,67.1091666667
83,0,153,690.941805556
84,-18,-90,357.733333333
85,66,10,568.428194444
86,-29,77,18.7277777778
87,33,14,1367.13138889
88,-7,179,726.909583333
89,15,131,205.354861111
90,29,47,11.0613888889
91,7,98,984.485972222
92,56,-159,571.3475
93,5,147,893.537777778
94,36,-30,339.160694444
95,14,-161,396.501666667
96,-5,-137,349.796111111
97,4,-90,27.4558333333
98,5,66,142.513888889
99,2,-23,674.824166667
100,-10,115,107.762777778
101,-1,-83,12.4576388889
102,40,-15,761.543333333
103,37,-35,810.184583333
104,-31,-73,220.507638889
105,-22,-77,199.981527778
106,-12,10,72.5248611111
107,34,35,0.551111111111
108,-39,-162,0.433472222222
109,-19,163,77.0359722222
110,-18,-95,196.75125
111,-8,-23,879.845833333
112,47,150,11.0255555556
113,59,-19,307.327361111
